card,store,quantity,value
hallowed fountain,VAULT,6,110.00
hallowed fountain,VAULT,1,1150.00
hallowed fountain,VAULT,1,500.00
hallowed fountain,VAULT,1,42.50
hallowed fountain,VAULT,1,40.00
hallowed fountain,VAULT,1,40.00
hallowed fountain,VAULT,1,37.50
hallowed fountain,VAULT,1,42.50
flooded strand,Tutubahia,4,104.75
flooded strand,Tutubahia,2,199.75
flooded strand,Tutubahia,2,199.75
flooded strand,Tutubahia,1,999.75
flooded strand,Tutubahia,1,209.75
shivan reef,Cards Store,4,80.00
shivan reef,Cards Store,1,29.00
shivan reef,Cards Store,1,8.40
shivan reef,Cards Store,1,8.40
shivan reef,Cards Store,1,8.40
shivan reef,Cards Store,1,5.90
island,Jaw Games,4,15.00
island,Jaw Games,4,15.00
island,Jaw Games,2,8.00
island,Jaw Games,2,0.15
crumble to dust,Livraria do Infinito - MagicJebb,1,1.70
crumble to dust,Livraria do Infinito - MagicJebb,4,0.21
leyline of sanctity,Nerdz Cards,5,29.90
leyline of sanctity,Nerdz Cards,1,149.90
leyline of sanctity,Nerdz Cards,1,34.90
leyline of sanctity,Nerdz Cards,1,179.90
lightning bolt,VAULT,19,16.00
lightning bolt,VAULT,8,32.50
lightning bolt,VAULT,5,17.50
lightning bolt,VAULT,5,22.50
lightning bolt,VAULT,4,100.00
lightning bolt,VAULT,4,16.00
lightning bolt,VAULT,3,300.00
lightning bolt,VAULT,3,300.02
lightning bolt,VAULT,3,125.00
lightning bolt,VAULT,2,12.00
lightning bolt,VAULT,2,17.50
lightning bolt,VAULT,2,175.00
lightning bolt,VAULT,1,14.50
lightning bolt,VAULT,1,275.02
lightning bolt,VAULT,1,17.50
lightning bolt,VAULT,1,275.00
lightning bolt,VAULT,1,145.00
lightning bolt,VAULT,1,140.00
lightning bolt,VAULT,1,12.00
lightning bolt,VAULT,1,25.00
lightning bolt,VAULT,1,45.00
lightning bolt,VAULT,1,14.00
lightning bolt,VAULT,1,250.00
lightning bolt,VAULT,1,16.00
leyline of sanctity,Power9,4,189.00
leyline of sanctity,Power9,1,35.00
dispel,VAULT,7,1.25
dispel,VAULT,6,1.25
dispel,VAULT,4,1.25
dispel,VAULT,3,1.25
dispel,VAULT,2,18.00
dispel,VAULT,1,55.00
dispel,VAULT,1,16.00
dispel,VAULT,1,16.00
dispel,VAULT,1,50.00
dispel,VAULT,1,1.50
shattering spree,Pharaoh\'s Shop,3,20.00
shattering spree,Pharaoh\'s Shop,2,17.90
shattering spree,Pharaoh\'s Shop,1,17.50
shattering spree,Pharaoh\'s Shop,1,17.00
hope of ghirapur,Shandalar,3,2.80
hope of ghirapur,Shandalar,1,2.90
empty the warrens,Fire Ice Card Games,1,0.39
empty the warrens,Fire Ice Card Games,1,0.39
scalding tarn,Inside Games,4,450.00
scalding tarn,Inside Games,2,450.00
past in flames,Cards Store,2,80.00
past in flames,Cards Store,2,19.90
past in flames,Shandalar,1,57.00
past in flames,Nerdz Cards,1,59.90
mountain,Tutubahia,2,330.00
mountain,Tutubahia,1,35.00
mountain,Tutubahia,1,10.00
empty the warrens,Cards Of Paradise,38,2.20
empty the warrens,Cards Of Paradise,36,2.20
empty the warrens,Cards Of Paradise,2,23.80
mountain,Pharaoh\'s Shop,27,12.00
mountain,Pharaoh\'s Shop,27,9.90
mountain,Pharaoh\'s Shop,11,9.50
mountain,Pharaoh\'s Shop,2,1.50
mountain,Pharaoh\'s Shop,1,13.00
mountain,Pharaoh\'s Shop,1,190.00
mountain,Pharaoh\'s Shop,1,289.90
mountain,Elder Dragon Brasil,48,0.25
mountain,Elder Dragon Brasil,38,0.18
mountain,Elder Dragon Brasil,36,0.35
mountain,Elder Dragon Brasil,36,0.35
mountain,Elder Dragon Brasil,33,0.18
mountain,Elder Dragon Brasil,26,0.18
mountain,Power9,1,249.99
mountain,Power9,1,39.99
mountain,Power9,15,14.90
mountain,Power9,8,0.20
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,17,35.88
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,8,1.70
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,5.46
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,4.20
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,4.20
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,719.99
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,719.99
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,4.20
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,900.00
mountain,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,719.99
mountain,Bazar de Bagdá,72,14.99
mountain,Bazar de Bagdá,25,11.99
mountain,Bazar de Bagdá,16,49.99
mountain,Bazar de Bagdá,13,39.99
mountain,Bazar de Bagdá,12,44.99
mountain,Bazar de Bagdá,9,11.99
mountain,Bazar de Bagdá,4,24.99
mountain,Bazar de Bagdá,2,29.99
mountain,Bazar de Bagdá,2,11.99
mountain,Bazar de Bagdá,1,34.99
mountain,Bazar de Bagdá,1,599.99
mountain,Livraria do Infinito - MagicJebb,1,51.00
mountain,Livraria do Infinito - MagicJebb,4,6.80
mountain,Livraria do Infinito - MagicJebb,3,3.83
mountain,Livraria do Infinito - MagicJebb,1,0.43
mountain,Livraria do Infinito - MagicJebb,1,0.26
mountain,Livraria do Infinito - MagicJebb,3,0.21
mountain,Livraria do Infinito - MagicJebb,1,0.20
mountain,Cards Of Paradise,193,13.40
mountain,Cards Of Paradise,52,11.80
mountain,Cards Of Paradise,33,0.40
mountain,Cards Of Paradise,31,10.20
mountain,Cards Of Paradise,24,7.80
mountain,Cards Of Paradise,22,0.40
mountain,Cards Of Paradise,21,0.40
mountain,Cards Of Paradise,19,0.40
mountain,Cards Of Paradise,18,0.40
mountain,Cards Of Paradise,7,0.80
mountain,Cards Of Paradise,6,0.80
mountain,Cards Of Paradise,5,3.80
mountain,Cards Of Paradise,4,7.80
mountain,Cards Of Paradise,3,199.80
mountain,Cards Of Paradise,2,3.80
mountain,Cards Of Paradise,2,19.80
mountain,Cards Of Paradise,2,3.80
mountain,Cards Of Paradise,1,10.20
mountain,Cards Of Paradise,1,3.80
mountain,Cards Of Paradise,1,3.80
mountain,Chuck TCG,3,1.50
mountain,Chuck TCG,2,1.50
mountain,Chuck TCG,1,3.00
mountain,Chuck TCG,3,3.50
mountain,Chuck TCG,8,9.50
mountain,Chuck TCG,18,10.00
mountain,Chuck TCG,45,14.50
mountain,Chuck TCG,6,19.50
mountain,Chuck TCG,2,19.50
mountain,Chuck TCG,3,199.50
mountain,Goblin Hero Store,4,11.00
mountain,Goblin Hero Store,4,140.00
mountain,Goblin Hero Store,3,20.00
mountain,Goblin Hero Store,2,19.99
mountain,Goblin Hero Store,1,8.00
mountain,City Class Games,5,12.65
mountain,City Class Games,2,5.52
mountain,City Class Games,1,3.68
mountain,City Class Games,1,2.76
mountain,City Class Games,1,22.08
mountain,City Class Games,1,193.19
mountain,Inside Games,103,2.00
mountain,Inside Games,24,10.00
mountain,Inside Games,8,17.50
mountain,Inside Games,3,10.00
mountain,Inside Games,2,6.00
mountain,Inside Games,1,45.00
mountain,Inside Games,1,4.00
mountain,Inside Games,1,4.00
mountain,Cards Store,2,13.00
mountain,Cards Store,1,3.00
mountain,Cards Store,1,38.00
mountain,Cards Store,1,3.77
mountain,Cards Store,1,16.00
mountain,Cards Store,1,9.00
mountain,Newstation,13,12.00
mountain,Newstation,7,13.00
mountain,Newstation,3,12.00
mountain,Newstation,2,23.00
mountain,Newstation,1,3.00
mountain,Newstation,1,38.00
mountain,Newstation,1,22.00
mountain,Medieval Cards,9,8.55
mountain,Medieval Cards,7,0.24
mountain,Medieval Cards,1,38.00
mountain,Toca do Quati,9,28.00
mountain,Toca do Quati,3,35.00
mountain,Toca do Quati,2,12.00
mountain,Card Tutor,12,13.95
mountain,Card Tutor,12,2.25
mountain,Card Tutor,8,2.95
mountain,Card Tutor,2,28.95
mountain,Card Tutor,2,8.95
mountain,Card Tutor,2,24.95
mountain,Card Tutor,1,44.95
mountain,Card Tutor,1,30.95
mountain,Meruru,7,14.90
mountain,Meruru,4,1.75
mountain,Meruru,1,34.75
mountain,Meruru,1,13.98
mountain,Magic Leste,2,34.90
mountain,Magic Leste,2,32.90
mountain,Magic Leste,2,19.90
mountain,Magic Leste,2,7.95
mountain,Magic Leste,2,6.99
mountain,Magic Leste,1,2.90
mountain,Magic House Games,17,7.20
mountain,Magic House Games,4,4.00
mountain,Magic House Games,2,4.80
mountain,Magic House Games,2,0.50
mountain,Magic House Games,1,11.00
mountain,Magic House Games,1,25.00
mountain,Magic House Games,1,39.90
mountain,Nerdz Cards,26,34.90
mountain,Nerdz Cards,4,14.90
mountain,Nerdz Cards,1,27.90
mountain,Nerdz Cards,1,24.90
mountain,Porto Livre Games,1,31.88
mountain,Porto Livre Games,3,0.21
mountain,Porto Livre Games,8,0.21
mountain,LIMIAR STORE,1,32.07
mountain,Shandalar,3,7.45
mountain,Shandalar,2,11.90
mountain,Shandalar,1,2.45
mountain,Shandalar,1,32.90
mountain,Shandalar,1,4.25
mountain,Shandalar,1,6.95
mountain,Shandalar,1,11.90
mountain,Load or Cast,1,31.70
mountain,Load or Cast,7,7.90
mountain,Load or Cast,8,7.30
mountain,Load or Cast,1,5.65
mountain,Load or Cast,1,3.30
mountain,Load or Cast,3,0.45
mountain,Load or Cast,2,0.35
mountain,Load or Cast,8,0.30
mountain,Universo Magic,1,30.00
mountain,Loja Blood Moon,4,12.00
mountain,Loja Blood Moon,2,30.00
mountain,Magic Club,2,23.90
mountain,Magic Club,1,10.99
mountain,Magic Club,1,29.75
mountain,Magic Store Brasil,1,27.50
mountain,Magic Store Brasil,3,11.00
mountain,Magic Store Brasil,1,5.00
mountain,Cards e Games,5,24.99
mountain,Cards e Games,1,0.55
mountain,RED Jogos,1,22.50
mountain,RED Jogos,1,18.00
mountain,RED Jogos,8,15.00
mountain,RED Jogos,5,9.60
mountain,RED Jogos,19,9.60
mountain,RED Jogos,3,6.40
mountain,RED Jogos,21,8.00
mountain,RED Jogos,9,7.00
mountain,RED Jogos,1,3.00
mountain,RED Jogos,1,3.00
mountain,RED Jogos,1,2.50
mountain,RED Jogos,3,2.00
mountain,RED Jogos,2,2.50
mountain,RED Jogos,16,0.50
mountain,RED Jogos,6,0.35
mountain,Tokenlandia Cards,5,20.00
mountain,Tokenlandia Cards,2,20.00
mountain,Cabala MtG,2,15.00
mountain,Cabala MtG,1,15.00
mountain,Cabala MtG,1,20.00
mountain,Flow Games,3,21.01
mountain,Loja Grimorium,74,0.49
mountain,Loja Grimorium,34,14.99
mountain,Loja Grimorium,14,0.49
mountain,Loja Grimorium,14,0.49
mountain,Loja Grimorium,9,0.49
mountain,Loja Grimorium,9,6.99
mountain,Loja Grimorium,9,1.99
