card,store,quantity,value
Altar's Reap,A Taverna,3,0.20
Altar's Reap,AnimeToys Sorocaba,1,0.45
Altar's Reap,AnimeToys Sorocaba,7,0.45
Altar's Reap,AnimeToys Sorocaba,8,0.45
Altar's Reap,AnimeToys Sorocaba,19,0.45
Altar's Reap,AnimeToys Sorocaba,57,0.45
Altar's Reap,Arena Hobby Store,2,0.20
Altar's Reap,Arena Hobby Store,2,0.20
Altar's Reap,Arena Hobby Store,3,0.20
Altar's Reap,Arena Hobby Store,15,0.20
Altar's Reap,Arena Hobby Store,15,0.20
Altar's Reap,Arena Hobby Store,23,0.20
Altar's Reap,Armada Nerd Hobby Store,5,0.50
Altar's Reap,Arsenal Nerd,1,0.05
Altar's Reap,Arsenal Nerd,2,0.07
Altar's Reap,Ascensão,3,0.25
Altar's Reap,Basics Cards,1,0.08
Altar's Reap,Basics Cards,1,0.08
Altar's Reap,Basics Cards,1,0.10
Altar's Reap,Basics Cards,1,0.10
Altar's Reap,Basics Cards,1,0.10
Altar's Reap,Basics Cards,2,0.10
Altar's Reap,Basics Cards,4,0.10
Altar's Reap,Bazar de Bagdá,1,0.49
Altar's Reap,Bazar de Bagdá,1,0.49
Altar's Reap,Bazar de Bagdá,2,0.49
Altar's Reap,Bazar de Bagdá,6,0.49
Altar's Reap,Bazar de Bagdá,12,0.49
Altar's Reap,Bazar de Bagdá,15,0.49
Altar's Reap,Bazar de Bagdá,22,0.49
Altar's Reap,Bazar de Bagdá,22,0.49
Altar's Reap,Bazar de Bagdá,1,1.99
Altar's Reap,Bazar de Bagdá,1,1.99
Altar's Reap,Bazar de Bagdá,1,1.99
Altar's Reap,Cabala MtG,1,0.09
Altar's Reap,Cabala MtG,3,0.09
Altar's Reap,Cabala MtG,5,0.13
Altar's Reap,Cabala MtG,14,0.13
Altar's Reap,Cabala MtG,2,0.22
Altar's Reap,Card Tutor,4,0.25
Altar's Reap,Card Tutor,9,0.25
Altar's Reap,Card Tutor,2,0.30
Altar's Reap,Card Tutor,4,0.35
Altar's Reap,Cards e Games,2,0.20
Altar's Reap,Cards e Games,6,0.20
Altar's Reap,Cards e Games,7,0.20
Altar's Reap,Cards e Games,9,0.20
Altar's Reap,Cards e Games,18,0.20
Altar's Reap,Cards e Games,19,0.20
Altar's Reap,Cards e Games,22,0.20
Altar's Reap,Cards e Games,58,0.20
Altar's Reap,Cards e Games,2,0.79
Altar's Reap,Cards Of Paradise,1,0.50
Altar's Reap,Cards Of Paradise,26,0.50
Altar's Reap,Cards Of Paradise,33,0.50
Altar's Reap,Cards Of Paradise,44,0.50
Altar's Reap,Cards Of Paradise,47,0.50
Altar's Reap,Cards Of Paradise,96,0.50
Altar's Reap,Cards Of Paradise,195,0.50
Altar's Reap,Cards Of Paradise,4,1.00
Altar's Reap,Cards Outlet,12,0.19
Altar's Reap,Cards Outlet,48,0.19
Altar's Reap,Cards Outlet,49,0.19
Altar's Reap,Cards Outlet,24,0.20
Altar's Reap,Chuck TCG,3,0.25
Altar's Reap,Chuck TCG,3,0.25
Altar's Reap,Chuck TCG,8,0.25
Altar's Reap,Chuck TCG,13,0.25
Altar's Reap,Chuck TCG,14,0.25
Altar's Reap,Chuck TCG,29,0.25
Altar's Reap,Chuck TCG,4,0.50
Altar's Reap,Chuck TCG,1,1.00
Altar's Reap,Chuck TCG,1,1.50
Altar's Reap,City Class Games,5,0.25
Altar's Reap,City Class Games,4,0.45
Altar's Reap,CL TCG,2,0.06
Altar's Reap,CL TCG,15,0.06
Altar's Reap,CL TCG,1,0.07
Altar's Reap,CL TCG,4,0.07
Altar's Reap,CL TCG,4,0.07
Altar's Reap,CL TCG,12,0.07
Altar's Reap,Condado Card Games,8,0.17
Altar's Reap,Condado Card Games,11,0.17
Altar's Reap,Cúpula do Trovão,1,0.15
Altar's Reap,Cúpula do Trovão,2,0.15
Altar's Reap,Cúpula do Trovão,2,0.15
Altar's Reap,Cúpula do Trovão,3,0.15
Altar's Reap,Elder Dragon Brasil,15,0.21
Altar's Reap,Epic Game,1,0.19
Altar's Reap,Epic Game,5,0.19
Altar's Reap,Epic Game,1,0.25
Altar's Reap,Epic Game,2,0.25
Altar's Reap,Epic Game,3,0.25
Altar's Reap,Epic Game,3,0.25
Altar's Reap,Epic Game,4,0.25
Altar's Reap,Epic Game,4,0.25
Altar's Reap,Epic Game,27,0.25
Altar's Reap,Epic Game,11,0.29
Altar's Reap,Flow Games,1,0.23
Altar's Reap,Flow Games,4,0.23
Altar's Reap,Flow Games,6,0.23
Altar's Reap,Gideon\'s Palace,4,0.15
Altar's Reap,Hive Jogos,7,0.05
Altar's Reap,Hobby Center,1,0.15
Altar's Reap,Hobby Center,12,0.15
Altar's Reap,Hobby Center,1,0.25
Altar's Reap,House of Cards - Card Games,2,0.25
Altar's Reap,House of Cards - Card Games,9,0.25
Altar's Reap,House of Cards - Card Games,13,0.25
Altar's Reap,House of Cards - Card Games,14,0.25
Altar's Reap,House of Cards - Card Games,14,0.25
Altar's Reap,House of Cards - Card Games,15,0.25
Altar's Reap,House of Cards - Card Games,3,0.95
Altar's Reap,Inside Games,7,0.25
Altar's Reap,Inside Games,19,0.25
Altar's Reap,Inside Games,24,0.25
Altar's Reap,Inside Games,5,0.50
Altar's Reap,Inside Games,24,0.50
Altar's Reap,Konklave FunStore,1,0.50
Altar's Reap,Konklave FunStore,4,0.50
Altar's Reap,Konklave FunStore,4,0.50
Altar's Reap,Konklave FunStore,4,0.50
Altar's Reap,Konklave FunStore,4,0.50
Altar's Reap,Konklave FunStore,1,1.00
Altar's Reap,Legends Game Store,1,0.44
Altar's Reap,Legends Game Store,17,0.44
Altar's Reap,Legends Game Store,1,1.13
Altar's Reap,Legion Board & Card Games,5,0.20
Altar's Reap,Legion Board & Card Games,5,0.20
Altar's Reap,Legion Board & Card Games,6,0.20
Altar's Reap,Legion Board & Card Games,21,0.20
Altar's Reap,Legion Board & Card Games,28,0.20
Altar's Reap,Legion Board & Card Games,38,0.20
Altar's Reap,Lets Collect,4,0.23
