price	stores	missing_cards
145.35	6	0
143.92	5	1
147.15	4	2
152.98	3	3
140.52	5	0
171.24	4	0
137.52	4	2
169.56	3	1
132.46	3	4
155.63	2	8
145.62	5	0
144.67	4	1
140.41	6	0
144.13	4	1
146.59	3	3
158.60	4	0
153.84	3	2
147.95	6	0
141.92	5	1
148.46	4	2
148.41	5	0
146.17	6	0
123.86	7	1
127.53	5	2
143.01	6	0
180.03	4	0
150.76	4	1
175.85	3	1
154.93	3	3
153.14	2	6
155.65	5	0
151.21	4	3
161.89	4	0
136.04	5	2
164.69	3	4
130.84	4	3
124.71	3	7
124.95	7	0
128.35	5	1
176.35	3	0
122.67	4	2
153.14	2	6
126.44	3	4
150.69	3	0
136.52	5	0
178.20	3	0
158.86	3	3
126.12	4	2
153.14	2	6
160.13	5	0
163.12	3	2
153.14	2	6
139.64	6	0
143.01	4	2
157.33	4	0
152.98	3	3
155.21	5	0
148.43	4	1
152.98	3	3
160.41	5	0
157.31	4	2
155.61	4	0
188.28	3	0
157.03	3	1
139.14	5	0
135.82	4	2
146.83	4	0
146.02	6	0
174.74	4	0
147.45	4	1
154.56	3	2
123.31	7	0
177.44	4	0
122.53	6	1
125.67	5	2
122.93	4	3
126.64	3	4
146.30	6	0
165.66	5	0
143.72	4	1
136.73	3	5
150.96	4	0
153.67	6	0
151.41	5	1
155.76	4	2
149.60	3	4
153.14	2	6
157.06	4	0
151.78	3	3
144.89	5	0
180.03	4	0
175.85	3	1
133.24	7	0
129.79	6	1
132.95	5	2
135.44	4	3
144.23	5	0
141.76	4	1
176.35	3	0
150.21	3	3
153.14	2	6
142.78	6	0
140.34	5	1
183.77	4	0
144.38	4	2
180.06	3	1
135.59	5	0
134.84	4	1
139.22	3	3
135.31	5	0
208.84	3	0
122.81	4	3
132.46	3	4
130.51	6	0
119.66	5	2
148.26	5	0
157.02	4	1
165.64	3	2
153.14	2	6
131.33	6	1
155.71	4	0
169.47	4	0
147.19	5	0
181.67	3	0
142.49	4	2
170.16	2	6
149.86	6	0
147.85	5	1
151.65	4	2
158.86	3	3
153.14	2	6
150.00	6	0
152.69	4	2
137.39	5	0
144.53	4	2
164.54	3	3
134.40	3	4
153.14	2	6
166.94	4	0
152.71	4	1
131.43	6	0
152.48	5	0
125.16	5	2
152.49	4	1
162.37	3	2
153.14	2	6
141.72	5	0
132.79	4	2
130.80	3	3
162.29	5	0
165.50	4	1
140.54	6	0
166.65	3	2
152.83	2	7
142.56	4	2
143.95	6	0
136.79	5	1
128.95	4	5
123.64	3	9
160.93	5	0
163.12	3	2
153.14	2	6
150.74	6	0
133.60	4	1
176.35	3	0
153.14	2	6
141.84	4	0
125.69	3	5
125.68	6	2
151.37	5	0
175.63	3	1
139.22	3	3
140.57	4	0
132.72	6	0
132.08	5	1
158.40	4	0
134.53	4	3
162.37	3	2
132.46	3	4
153.14	2	6
124.98	7	0
165.66	5	0
120.61	5	1
112.15	4	5
145.45	4	0
132.46	3	4
149.23	5	0
148.43	4	1
152.98	3	3
154.54	6	0
148.07	5	1
125.99	7	0
141.43	6	0
122.94	6	1
135.01	5	1
170.46	4	0
126.73	5	2
144.19	4	2
166.01	3	3
134.17	4	4
136.83	3	7
123.57	3	9
156.06	4	0
161.09	3	3
141.39	6	0
161.64	4	0
143.84	5	1
163.85	3	2
176.35	3	0
153.14	2	6
164.93	4	0
172.73	3	1
173.66	2	4
182.82	4	0
132.09	5	0
175.85	3	1
119.10	4	3
125.92	3	4
150.24	4	1
135.90	5	0
129.67	4	2
126.64	3	4
164.93	4	0
172.73	3	1
173.66	2	4
154.86	4	1
144.84	5	0
146.02	6	0
143.75	4	2
144.21	6	0
142.34	5	1
145.49	4	2
145.75	3	4
153.14	2	6
195.12	4	0
150.65	5	0
200.21	3	1
141.74	6	0
136.57	4	3
133.01	3	5
135.02	7	0
126.38	6	1
122.05	5	3
132.34	3	4
146.65	5	0
145.72	4	1
146.53	6	0
142.73	4	2
151.87	3	3
128.37	6	0
131.50	5	1
137.14	4	2
150.15	6	0
141.10	5	1
139.14	4	2
145.88	3	3
172.73	3	1
143.50	4	0
173.66	2	4
151.07	3	2
128.23	2	7
149.68	5	0
148.43	4	1
152.98	3	3
149.10	5	0
146.35	4	2
121.36	3	8
141.50	5	0
137.52	4	2
132.46	3	4
134.84	7	1
132.08	6	3
165.57	4	0
132.10	6	1
178.20	3	0
159.69	4	1
163.12	3	2
153.14	2	6
146.32	6	0
147.64	4	2
128.20	6	1
150.84	4	0
154.22	3	2
150.88	6	0
149.62	5	1
156.19	4	2
158.86	3	3
153.14	2	6
128.58	6	0
164.71	4	0
121.21	5	1
149.60	3	4
153.14	2	6
142.56	5	0
139.05	4	3
176.35	3	0
134.40	3	4
153.14	2	6
133.73	6	0
170.33	4	0
131.41	5	1
174.31	3	2
135.30	4	3
148.55	5	0
157.03	3	1
129.66	6	0
152.61	5	0
124.18	5	2
148.36	4	2
119.68	4	4
151.39	3	4
109.62	3	9
139.30	7	0
159.73	5	0
154.86	4	1
138.06	5	2
139.76	4	3
137.97	7	0
138.40	5	1
168.62	4	0
142.49	4	2
166.32	3	3
161.25	5	0
165.17	4	1
155.85	5	0
159.16	3	2
160.94	4	0
158.62	3	3
149.68	5	0
148.43	4	1
152.98	3	3
143.05	6	0
163.50	5	0
136.49	5	2
158.88	4	1
139.49	4	3
128.77	5	0
176.35	3	0
153.14	2	6
145.23	5	0
150.50	4	1
123.46	6	0
160.13	5	0
121.72	5	1
124.62	4	2
163.12	3	2
112.77	3	7
153.14	2	6
