card,store,quantity,value
naturalize,Fire Ice Card Games,6,0.04
naturalize,Fire Ice Card Games,3,0.04
naturalize,Fire Ice Card Games,3,0.04
naturalize,Fire Ice Card Games,2,0.04
naturalize,Fire Ice Card Games,2,0.04
naturalize,Fire Ice Card Games,1,0.04
naturalize,Fire Ice Card Games,1,0.04
seismic stomp,Tokenlandia Cards,1,2.00
goblin grappler,Bazar de Bagdá,8,0.99
goblin grappler,Bazar de Bagdá,3,0.49
goblin grappler,Bazar de Bagdá,3,0.75
goblin recruiter,Magicbembarato,4,14.53
goblin recruiter,Magicbembarato,4,10.13
seismic stomp,Toca do Quati,9,0.25
seismic stomp,Toca do Quati,9,0.25
seismic stomp,Toca do Quati,1,3.00
goblin recruiter,Cards Outlet,4,14.29
goblin recruiter,Cards Outlet,4,9.97
elemental uprising,Magicbembarato,7,1.52
elemental uprising,Magicbembarato,6,0.14
elemental uprising,Bazar de Bagdá,3,1.99
goblin recruiter,Porto Livre Games,1,13.18
elemental uprising,Portal,13,0.25
elemental uprising,Portal,1,2.00
elemental uprising,Cards Of Paradise,11,1.40
elemental uprising,Cards Of Paradise,8,0.20
elemental uprising,Cards Of Paradise,6,1.40
elemental uprising,TCGeeK,23,0.50
elemental uprising,TCGeeK,2,1.00
elemental uprising,Universo Magic,1,1.00
elemental uprising,Konklave FunStore,1,2.00
elemental uprising,Konklave FunStore,4,0.40
naturalize,Tokenlandia Cards,22,0.50
naturalize,Tokenlandia Cards,19,0.50
naturalize,Tokenlandia Cards,18,0.50
naturalize,Tokenlandia Cards,15,0.50
naturalize,Tokenlandia Cards,13,0.50
naturalize,Tokenlandia Cards,12,0.50
naturalize,Tokenlandia Cards,8,0.50
naturalize,Tokenlandia Cards,8,0.50
naturalize,Tokenlandia Cards,6,0.50
naturalize,Tokenlandia Cards,5,0.50
naturalize,Tokenlandia Cards,4,0.50
naturalize,Tokenlandia Cards,3,0.50
naturalize,Tokenlandia Cards,2,0.50
naturalize,Tokenlandia Cards,2,0.50
naturalize,Tokenlandia Cards,2,3.50
naturalize,Tokenlandia Cards,2,0.50
naturalize,Tokenlandia Cards,1,0.50
naturalize,Tokenlandia Cards,1,0.50
naturalize,Tokenlandia Cards,1,1.00
naturalize,Tokenlandia Cards,1,0.50
naturalize,Tokenlandia Cards,1,1.50
naturalize,Armada Nerd Hobby Store,21,0.50
naturalize,Armada Nerd Hobby Store,19,0.50
naturalize,Armada Nerd Hobby Store,2,0.50
naturalize,Armada Nerd Hobby Store,1,1.00
elemental uprising,Load or Cast,1,1.00
elemental uprising,Load or Cast,1,1.00
elemental uprising,Load or Cast,4,0.20
elemental uprising,Load or Cast,16,0.20
naturalize,Card Castle,2,0.18
naturalize,Card Castle,1,4.27
naturalize,Card Castle,1,0.85
naturalize,Card Castle,1,0.18
naturalize,VAULT,4,2.00
naturalize,VAULT,3,0.25
naturalize,VAULT,3,0.25
naturalize,VAULT,2,0.25
naturalize,VAULT,2,3.50
naturalize,VAULT,2,0.25
naturalize,VAULT,1,0.25
naturalize,VAULT,1,0.25
naturalize,VAULT,1,0.25
naturalize,VAULT,1,2.00
naturalize,VAULT,1,2.00
naturalize,Loja Caverna do Dragão,21,0.20
naturalize,Loja Caverna do Dragão,9,0.20
naturalize,Loja Caverna do Dragão,6,0.20
naturalize,Loja Caverna do Dragão,5,0.20
naturalize,Loja Caverna do Dragão,3,0.20
naturalize,Loja Caverna do Dragão,3,0.20
naturalize,Loja Caverna do Dragão,3,0.20
naturalize,Loja Caverna do Dragão,2,0.20
naturalize,Loja Caverna do Dragão,1,0.20
naturalize,Loja Caverna do Dragão,1,0.20
naturalize,Loja Caverna do Dragão,1,4.00
naturalize,Shandalar,7,0.25
naturalize,Shandalar,6,0.25
naturalize,Shandalar,6,0.25
naturalize,Shandalar,5,0.25
naturalize,Shandalar,3,0.25
naturalize,Shandalar,2,0.25
naturalize,Shandalar,2,0.25
naturalize,Shandalar,2,0.25
naturalize,Shandalar,2,0.25
naturalize,Shandalar,2,0.25
naturalize,Shandalar,1,0.25
naturalize,Shandalar,1,3.75
naturalize,Shandalar,1,0.25
naturalize,Shandalar,1,0.25
naturalize,Shandalar,1,0.25
naturalize,Shandalar,1,1.25
naturalize,Shandalar,1,0.25
naturalize,Shandalar,1,0.25
naturalize,Shandalar,1,1.23
naturalize,Nerdz Cards,44,0.25
naturalize,Nerdz Cards,7,0.25
naturalize,Nerdz Cards,6,0.25
naturalize,Nerdz Cards,6,0.25
naturalize,Nerdz Cards,6,0.25
naturalize,Nerdz Cards,6,0.25
naturalize,Nerdz Cards,4,0.25
naturalize,Nerdz Cards,4,0.25
naturalize,Nerdz Cards,3,0.25
naturalize,Nerdz Cards,3,0.25
naturalize,Nerdz Cards,3,0.25
naturalize,Nerdz Cards,3,0.25
naturalize,Nerdz Cards,3,0.25
naturalize,Nerdz Cards,3,0.25
naturalize,Nerdz Cards,3,0.25
naturalize,Nerdz Cards,3,0.25
naturalize,Nerdz Cards,2,0.25
naturalize,Nerdz Cards,2,0.20
naturalize,Nerdz Cards,2,0.25
naturalize,Nerdz Cards,2,0.20
naturalize,Nerdz Cards,2,0.25
naturalize,Nerdz Cards,1,0.25
naturalize,Nerdz Cards,1,0.25
naturalize,Nerdz Cards,1,0.25
naturalize,Nerdz Cards,1,1.00
naturalize,Nerdz Cards,1,3.50
naturalize,Nerdz Cards,1,1.00
naturalize,Bahia Store,4,0.29
naturalize,Bahia Store,4,0.31
naturalize,Bahia Store,4,0.34
naturalize,Bahia Store,4,0.28
naturalize,Bahia Store,4,0.37
naturalize,Bahia Store,1,3.00
naturalize,Bahia Store,1,3.00
naturalize,Bazar de Bagdá,38,0.49
naturalize,Bazar de Bagdá,32,0.49
naturalize,Bazar de Bagdá,29,0.49
naturalize,Bazar de Bagdá,28,0.49
naturalize,Bazar de Bagdá,14,0.49
naturalize,Bazar de Bagdá,14,0.49
naturalize,Bazar de Bagdá,14,0.49
naturalize,Bazar de Bagdá,13,0.49
naturalize,Bazar de Bagdá,13,0.49
naturalize,Bazar de Bagdá,13,0.49
naturalize,Bazar de Bagdá,8,0.49
naturalize,Bazar de Bagdá,7,0.49
naturalize,Bazar de Bagdá,6,0.49
naturalize,Bazar de Bagdá,6,2.99
naturalize,Bazar de Bagdá,5,0.49
naturalize,Bazar de Bagdá,4,0.75
naturalize,Bazar de Bagdá,2,2.99
naturalize,Bazar de Bagdá,2,2.99
naturalize,Bazar de Bagdá,2,2.99
naturalize,Bazar de Bagdá,1,1.99
naturalize,Bazar de Bagdá,1,2.99
naturalize,Bazar de Bagdá,1,2.99
naturalize,Bazar de Bagdá,1,1.99
naturalize,Bazar de Bagdá,1,2.99
naturalize,Pharaoh\'s Shop,37,0.20
naturalize,Pharaoh\'s Shop,29,0.20
naturalize,Pharaoh\'s Shop,23,0.20
naturalize,Pharaoh\'s Shop,14,0.20
naturalize,Pharaoh\'s Shop,14,0.20
naturalize,Pharaoh\'s Shop,13,0.20
naturalize,Pharaoh\'s Shop,9,0.20
naturalize,Pharaoh\'s Shop,8,0.20
naturalize,Pharaoh\'s Shop,8,0.20
naturalize,Pharaoh\'s Shop,8,0.20
naturalize,Pharaoh\'s Shop,8,0.20
naturalize,Pharaoh\'s Shop,8,0.20
naturalize,Pharaoh\'s Shop,6,0.20
naturalize,Pharaoh\'s Shop,6,0.20
naturalize,Pharaoh\'s Shop,6,0.15
naturalize,Pharaoh\'s Shop,6,0.15
naturalize,Pharaoh\'s Shop,5,0.20
naturalize,Pharaoh\'s Shop,5,0.20
naturalize,Pharaoh\'s Shop,5,0.20
naturalize,Pharaoh\'s Shop,5,0.15
naturalize,Pharaoh\'s Shop,5,0.10
