card,store,quantity,value
set adrift,Player`s Stop,1,0.99
set adrift,Player`s Stop,1,3.99
set adrift,Player`s Stop,1,0.99
memory sluice,Shandalar,1,8.50
memory sluice,Shandalar,1,2.50
memory sluice,TCGeeK,6,3.50
memory sluice,TCGeeK,6,2.70
memory sluice,TCGeeK,1,9.90
memory sluice,TCGeeK,1,1.20
set adrift,Magicbembarato,6,0.81
set adrift,Magicbembarato,1,3.21
"jace, memory adept",TCGeeK,1,59.90
"jace, memory adept",Fire Ice Card Games,1,17.50
crypt incursion,TCGeeK,2,16.00
"jace, memory adept",Bazar de Bagdá,5,29.99
"jace, memory adept",Bazar de Bagdá,3,29.99
"jace, memory adept",Bazar de Bagdá,2,26.99
"jace, memory adept",Bazar de Bagdá,1,29.99
"jace, memory adept",Bazar de Bagdá,1,49.99
"jace, memory adept",Bazar de Bagdá,1,21.99
"jace, memory adept",Bazar de Bagdá,1,26.99
"jace, memory adept",Bazar de Bagdá,1,29.99
crypt incursion,Bazar de Bagdá,31,2.49
crypt incursion,Bazar de Bagdá,1,2.49
crypt incursion,Bazar de Bagdá,1,15.99
set adrift,ManaFix.net,101,0.45
set adrift,ManaFix.net,1,9.95
crypt incursion,VAULT,7,1.50
crypt incursion,VAULT,1,1.50
crypt incursion,VAULT,1,15.00
island,Shandalar,17,7.45
island,Shandalar,3,0.95
island,Shandalar,2,27.45
island,Shandalar,2,0.95
island,Shandalar,2,15.75
island,Shandalar,2,59.95
island,Shandalar,1,14.90
island,Shandalar,1,5.45
island,Shandalar,1,7.95
island,ManaFix.net,1,394.95
swamp,Cards Of Paradise,404,0.60
swamp,Cards Of Paradise,192,13.40
swamp,Cards Of Paradise,48,11.80
swamp,Cards Of Paradise,42,0.40
swamp,Cards Of Paradise,38,0.40
swamp,Cards Of Paradise,27,10.20
swamp,Cards Of Paradise,14,0.40
swamp,Cards Of Paradise,12,3.80
swamp,Cards Of Paradise,6,7.80
swamp,Cards Of Paradise,6,7.80
swamp,Cards Of Paradise,5,0.60
swamp,Cards Of Paradise,5,19.80
swamp,Cards Of Paradise,3,0.80
swamp,Cards Of Paradise,3,239.80
swamp,Cards Of Paradise,2,0.40
swamp,Cards Of Paradise,2,3.80
swamp,Cards Of Paradise,2,0.80
swamp,Cards Of Paradise,2,3.80
swamp,Cards Of Paradise,1,3.80
swamp,Cards Of Paradise,1,0.80
swamp,Cards Of Paradise,1,3.80
island,Magic House Games,4,0.50
island,Magic House Games,4,29.00
island,Magic House Games,1,0.50
island,Magic House Games,1,90.00
island,Magic House Games,1,6.00
island,Magic House Games,1,14.90
island,Magic House Games,1,7.50
island,Magic House Games,1,44.90
island,Magic House Games,1,25.00
island,Power9,3,699.99
island,Power9,1,32.00
island,Power9,3,19.99
island,Power9,8,0.20
island,Card Tutor,11,17.95
island,Card Tutor,8,2.95
island,Card Tutor,2,11.95
island,Card Tutor,1,49.50
island,VampireX TCG,48,0.43
island,VampireX TCG,47,0.87
island,VampireX TCG,26,12.31
island,VampireX TCG,5,50.15
island,VampireX TCG,5,25.51
island,VampireX TCG,4,0.22
island,VampireX TCG,3,21.11
island,VampireX TCG,2,0.22
island,VampireX TCG,1,39.59
island,VampireX TCG,1,5.27
island,Inside Games,29,2.00
island,Inside Games,24,10.00
island,Inside Games,5,50.00
island,Inside Games,3,10.00
island,Inside Games,1,4.00
island,Inside Games,1,4.00
island,Inside Games,1,6.00
island,Newstation,9,14.00
island,Newstation,5,8.00
island,Newstation,1,49.00
island,Newstation,1,48.00
evolving wilds,Ascensão,3,0.05
evolving wilds,Ascensão,1,1.80
island,Nerdz Cards,4,44.90
island,Nerdz Cards,1,14.90
island,Bazar de Bagdá,64,19.99
island,Bazar de Bagdá,32,11.99
island,Bazar de Bagdá,5,49.99
island,Bazar de Bagdá,5,44.99
island,Bazar de Bagdá,5,29.99
island,Bazar de Bagdá,3,39.99
island,Bazar de Bagdá,2,17.99
island,Bazar de Bagdá,1,3.99
island,Legends Game Store,2,41.39
island,Legends Game Store,9,8.09
island,Toca do Quati,6,35.00
island,Toca do Quati,4,40.00
island,Toca do Quati,2,10.00
evolving wilds,Bazar de Bagdá,36,0.49
evolving wilds,Bazar de Bagdá,34,0.49
evolving wilds,Bazar de Bagdá,34,0.49
evolving wilds,Bazar de Bagdá,27,0.49
evolving wilds,Bazar de Bagdá,22,0.49
evolving wilds,Bazar de Bagdá,18,0.49
evolving wilds,Bazar de Bagdá,15,0.49
evolving wilds,Bazar de Bagdá,12,0.49
evolving wilds,Bazar de Bagdá,9,0.49
evolving wilds,Bazar de Bagdá,9,0.49
evolving wilds,Bazar de Bagdá,9,0.49
evolving wilds,Bazar de Bagdá,8,0.49
evolving wilds,Bazar de Bagdá,8,0.49
evolving wilds,Bazar de Bagdá,6,0.49
evolving wilds,Bazar de Bagdá,6,3.99
evolving wilds,Bazar de Bagdá,6,0.49
evolving wilds,Bazar de Bagdá,6,0.49
evolving wilds,Bazar de Bagdá,5,0.49
evolving wilds,Bazar de Bagdá,4,29.99
evolving wilds,Bazar de Bagdá,4,0.49
evolving wilds,Bazar de Bagdá,4,0.49
evolving wilds,Bazar de Bagdá,3,0.49
evolving wilds,Bazar de Bagdá,2,3.99
evolving wilds,Bazar de Bagdá,2,3.99
evolving wilds,Bazar de Bagdá,1,0.49
evolving wilds,Bazar de Bagdá,1,3.99
evolving wilds,Bazar de Bagdá,1,3.99
evolving wilds,Bazar de Bagdá,1,3.99
evolving wilds,Bazar de Bagdá,1,0.49
island,Power Up Games,1,2.50
island,Power Up Games,1,40.00
island,Overrun Geek Store,4,42.50
island,Overrun Geek Store,1,1.50
evolving wilds,Overrun Geek Store,4,0.25
evolving wilds,Overrun Geek Store,4,6.00
evolving wilds,Overrun Geek Store,4,3.00
evolving wilds,Overrun Geek Store,4,0.25
evolving wilds,Overrun Geek Store,4,0.25
evolving wilds,Overrun Geek Store,4,0.90
evolving wilds,Overrun Geek Store,4,0.25
evolving wilds,Overrun Geek Store,4,24.90
evolving wilds,Overrun Geek Store,2,0.52
evolving wilds,Overrun Geek Store,2,0.25
evolving wilds,Overrun Geek Store,2,3.00
evolving wilds,Overrun Geek Store,1,0.25
evolving wilds,VampireX TCG,25,6.15
evolving wilds,VampireX TCG,18,0.35
evolving wilds,VampireX TCG,9,0.43
evolving wilds,VampireX TCG,9,0.43
evolving wilds,VampireX TCG,9,0.43
evolving wilds,VampireX TCG,9,0.43
evolving wilds,VampireX TCG,9,0.43
evolving wilds,VampireX TCG,9,0.43
evolving wilds,VampireX TCG,9,0.43
evolving wilds,VampireX TCG,8,0.61
evolving wilds,VampireX TCG,7,0.43
evolving wilds,VampireX TCG,7,0.43
evolving wilds,VampireX TCG,6,0.43
evolving wilds,VampireX TCG,6,0.43
evolving wilds,VampireX TCG,4,0.61
evolving wilds,VampireX TCG,4,0.43
evolving wilds,VampireX TCG,4,0.43
evolving wilds,VampireX TCG,3,0.87
evolving wilds,VampireX TCG,3,3.51
evolving wilds,VampireX TCG,2,23.75
evolving wilds,VampireX TCG,2,0.87
evolving wilds,VampireX TCG,2,4.39
evolving wilds,VampireX TCG,2,2.98
evolving wilds,VampireX TCG,1,0.43
