card,store,quantity,value
drowned catacomb,Universo Magic,1,27.00
drowned catacomb,Universo Magic,1,60.00
drowned catacomb,Universo Magic,1,30.00
drowned catacomb,Universo Magic,1,30.00
drowned catacomb,Universo Magic,1,18.00
scattered groves,Bazar de Bagdá,32,6.99
scattered groves,Bazar de Bagdá,3,19.99
scattered groves,Bazar de Bagdá,2,19.99
scattered groves,Bazar de Bagdá,1,19.99
sunpetal grove,Cards Hall,1,9.50
sunpetal grove,Cards Hall,1,9.50
sunpetal grove,Cards Hall,1,9.50
sunpetal grove,Cards Hall,1,7.50
canopy vista,Fire Ice Card Games,1,5.95
gyre sage,Magicbembarato,4,9.67
gyre sage,Magicbembarato,1,23.14
sunpetal grove,Cards Store,2,11.00
sunpetal grove,Cards Store,1,10.00
sunpetal grove,Cards Store,1,11.00
sunpetal grove,Cards Store,1,11.00
sunpetal grove,Cards Store,1,10.00
sunpetal grove,Cards Store,1,8.00
sunpetal grove,Cards Store,1,9.00
sunpetal grove,Cards Store,1,12.00
sunpetal grove,Cards Store,1,11.00
sunpetal grove,Cards Store,1,32.00
canopy vista,Bazar de Bagdá,17,9.99
canopy vista,Bazar de Bagdá,9,14.99
canopy vista,Bazar de Bagdá,6,14.99
canopy vista,Bazar de Bagdá,1,9.99
canopy vista,Bazar de Bagdá,1,119.99
canopy vista,Bazar de Bagdá,1,14.99
thrummingbird,Moinho de Vento Geek Store,2,0.10
thrummingbird,Moinho de Vento Geek Store,2,0.20
pyramid of the pantheon,Magicbembarato,4,1.72
pyramid of the pantheon,Magicbembarato,2,11.64
gyre sage,Liga Arena,1,9.41
swords to plowshares,ManaFix.net,3,4.95
swords to plowshares,ManaFix.net,3,4.95
swords to plowshares,ManaFix.net,3,4.95
swords to plowshares,Magic Store Brasil,1,36.80
swords to plowshares,Magic Store Brasil,1,35.88
swords to plowshares,Magic Store Brasil,1,2.00
canopy vista,Mulligan Geek Store,21,7.75
canopy vista,Mulligan Geek Store,5,29.75
canopy vista,Mulligan Geek Store,5,7.75
canopy vista,Mulligan Geek Store,2,29.75
canopy vista,Mulligan Geek Store,1,7.75
swords to plowshares,VAULT,9,7.00
swords to plowshares,VAULT,9,7.01
swords to plowshares,VAULT,7,7.00
swords to plowshares,VAULT,7,7.00
swords to plowshares,VAULT,4,12.50
swords to plowshares,VAULT,4,9.50
swords to plowshares,VAULT,4,14.00
swords to plowshares,VAULT,3,7.00
swords to plowshares,VAULT,2,7.50
swords to plowshares,VAULT,2,9.50
swords to plowshares,VAULT,2,10.00
swords to plowshares,VAULT,2,7.00
swords to plowshares,VAULT,2,700.00
swords to plowshares,VAULT,2,7.00
swords to plowshares,VAULT,1,115.00
swords to plowshares,VAULT,1,7.51
swords to plowshares,VAULT,1,10.00
swords to plowshares,VAULT,1,100.00
swords to plowshares,VAULT,1,13.00
swords to plowshares,VAULT,1,7.00
swords to plowshares,VAULT,1,8.50
swords to plowshares,VAULT,1,185.00
swords to plowshares,VAULT,1,55.01
swords to plowshares,VAULT,1,6.50
path to exile,LIMIAR STORE,4,100.00
path to exile,LIMIAR STORE,3,28.84
path to exile,LIMIAR STORE,2,29.62
path to exile,LIMIAR STORE,2,30.17
path to exile,LIMIAR STORE,1,28.59
path to exile,LIMIAR STORE,1,35.69
path to exile,LIMIAR STORE,1,30.80
path to exile,VAULT,5,45.00
path to exile,VAULT,5,52.50
path to exile,VAULT,5,82.50
path to exile,VAULT,4,90.00
path to exile,VAULT,4,95.00
path to exile,VAULT,4,52.50
path to exile,VAULT,4,38.00
path to exile,VAULT,4,38.00
path to exile,VAULT,3,35.00
path to exile,VAULT,2,60.00
path to exile,VAULT,2,32.50
path to exile,VAULT,1,67.50
path to exile,VAULT,1,40.00
path to exile,VAULT,1,35.00
path to exile,VAULT,1,47.50
path to exile,TCGeeK,2,28.00
path to exile,TCGeeK,1,90.00
path to exile,TCGeeK,1,28.00
path to exile,TCGeeK,1,58.00
path to exile,Condado Card Games,2,23.64
path to exile,Condado Card Games,1,19.71
path to exile,Bazar de Bagdá,63,24.99
path to exile,Bazar de Bagdá,13,69.99
path to exile,Bazar de Bagdá,5,34.99
path to exile,Bazar de Bagdá,4,59.99
path to exile,Bazar de Bagdá,4,49.99
path to exile,Bazar de Bagdá,4,69.99
path to exile,Bazar de Bagdá,3,34.99
path to exile,Bazar de Bagdá,3,39.99
path to exile,Bazar de Bagdá,3,29.99
path to exile,Bazar de Bagdá,3,79.99
path to exile,Bazar de Bagdá,3,34.99
path to exile,Bazar de Bagdá,2,29.99
path to exile,Bazar de Bagdá,2,35.99
path to exile,Bazar de Bagdá,1,34.99
path to exile,Bazar de Bagdá,1,59.99
path to exile,Bazar de Bagdá,1,34.99
path to exile,PRCShop,8,30.00
path to exile,PRCShop,2,34.00
path to exile,PRCShop,2,25.00
path to exile,PRCShop,1,70.00
path to exile,Cards Outlet,6,37.65
path to exile,Cards Outlet,1,89.95
path to exile,Cards Outlet,1,54.95
path to exile,Cards Outlet,5,37.65
path to exile,Cards Outlet,4,57.83
path to exile,Cards Of Paradise,42,31.80
path to exile,Cards Of Paradise,7,79.80
path to exile,Cards Of Paradise,4,27.80
path to exile,Cards Of Paradise,2,39.80
path to exile,Cards Of Paradise,2,79.80
path to exile,Cards Of Paradise,1,31.80
path to exile,Cards Of Paradise,1,30.20
path to exile,Cards Of Paradise,1,27.80
path to exile,Newstation,12,35.00
path to exile,Newstation,4,23.00
path to exile,Newstation,2,70.00
path to exile,Newstation,1,75.00
path to exile,City Class Games,4,64.99
path to exile,City Class Games,3,79.99
path to exile,City Class Games,1,37.99
path to exile,Chuck TCG,3,37.50
path to exile,Chuck TCG,2,37.50
path to exile,Chuck TCG,1,37.50
path to exile,Chuck TCG,1,42.50
path to exile,Chuck TCG,1,79.50
path to exile,Inside Games,24,25.00
path to exile,Inside Games,21,35.00
path to exile,Inside Games,5,35.00
path to exile,Inside Games,4,35.00
path to exile,Inside Games,4,35.00
path to exile,Inside Games,4,45.00
path to exile,Inside Games,3,70.00
path to exile,Inside Games,3,70.00
path to exile,Inside Games,2,40.00
path to exile,Inside Games,2,35.00
path to exile,Pi Games,1,23.99
path to exile,Pi Games,1,69.99
path to exile,Pi Games,1,23.99
path to exile,Cards Store,4,25.00
path to exile,Cards Store,4,64.00
path to exile,Cards Store,2,34.90
path to exile,Cards Store,1,36.90
path to exile,Cards Store,1,40.00
path to exile,Nerdz Cards,22,24.90
path to exile,Nerdz Cards,5,69.90
path to exile,Nerdz Cards,4,49.90
path to exile,Nerdz Cards,1,24.90
path to exile,Neowalkers Geek Store,4,29.98
path to exile,Neowalkers Geek Store,4,70.00
path to exile,Neowalkers Geek Store,1,31.98
path to exile,Neowalkers Geek Store,1,29.98
path to exile,Reino Magic,5,24.00
path to exile,Reino Magic,1,65.00
path to exile,Power9,4,69.99
path to exile,Power9,1,61.99
path to exile,Power9,5,58.99
path to exile,Power9,1,53.99
path to exile,Power9,1,32.00
path to exile,Power9,31,29.99
path to exile,Load or Cast,3,61.80
path to exile,Load or Cast,1,58.65
path to exile,Load or Cast,1,30.50
path to exile,Load or Cast,2,28.75
path to exile,Flow Games,2,62.08
path to exile,Flow Games,24,28.55
path to exile,Toca do Quati,8,36.00
path to exile,Toca do Quati,5,31.00
path to exile,Toca do Quati,2,40.00
path to exile,Toca do Quati,1,60.00
path to exile,Pharaoh\'s Shop,71,23.00
path to exile,Pharaoh\'s Shop,8,59.90
path to exile,Pharaoh\'s Shop,1,52.00
path to exile,Pharaoh\'s Shop,1,49.99
path to exile,Pharaoh\'s Shop,1,60.00
path to exile,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,60.00
path to exile,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,36.00
path to exile,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,26.28
path to exile,Shandalar,2,68.90
path to exile,Shandalar,1,59.10
path to exile,Magicbembarato,4,55.19
path to exile,Magicbembarato,4,49.69
path to exile,Magicbembarato,4,0.00
path to exile,Magicbembarato,4,54.81
path to exile,Magicbembarato,4,53.06
path to exile,Magicbembarato,4,53.78
path to exile,Magicbembarato,4,59.82
path to exile,Magicbembarato,4,38.22
path to exile,Magicbembarato,4,49.68
path to exile,Tutubahia,4,39.75
path to exile,Tutubahia,3,59.75
path to exile,Tutubahia,1,49.75
path to exile,Tutubahia,1,29.75
path to exile,Tutubahia,1,29.75
path to exile,Loja Grimorium,19,24.99
path to exile,Loja Grimorium,3,59.99
path to exile,Card Tutor,5,34.95
