card,store,quantity,value
highland lake,City Class Games,35,0.41
highland lake,City Class Games,27,0.64
highland lake,City Class Games,5,0.64
highland lake,City Class Games,5,1.84
highland lake,City Class Games,2,3.68
highland lake,City Class Games,1,0.92
highland lake,City Class Games,1,3.68
ophidian eye,Newstation,1,10.00
izzet boilerworks,Taverna Geek,2,0.75
izzet boilerworks,Taverna Geek,2,0.30
izzet boilerworks,Taverna Geek,1,0.75
ophidian eye,Cards Hall,1,5.00
lonely sandbar,ManaFix.net,1,69.95
invoke the firemind,Fire Ice Card Games,1,0.24
invoke the firemind,Fire Ice Card Games,1,0.24
lonely sandbar,Overrun Geek Store,4,0.50
lonely sandbar,Overrun Geek Store,3,0.50
lonely sandbar,Overrun Geek Store,2,0.50
lonely sandbar,Overrun Geek Store,2,0.50
lonely sandbar,Overrun Geek Store,1,30.00
lonely sandbar,Power Up Games,1,1.00
lonely sandbar,TCGeeK,8,2.00
lonely sandbar,TCGeeK,8,1.00
invoke the firemind,Cards Outlet,4,2.98
invoke the firemind,Cards Outlet,4,1.84
invoke the firemind,Cards Outlet,4,1.64
invoke the firemind,Cards Outlet,4,2.98
invoke the firemind,Magicbembarato,4,3.07
invoke the firemind,Magicbembarato,4,1.92
invoke the firemind,Magicbembarato,4,1.70
lonely sandbar,Medieval Cards,8,0.71
lonely sandbar,Medieval Cards,1,0.95
frantic search,Newstation,8,5.00
frantic search,Newstation,1,5.00
frantic search,Newstation,1,25.00
frantic search,City Class Games,29,2.75
frantic search,City Class Games,2,18.39
swarm intelligence,Geex Hobby Store,11,0.99
swarm intelligence,Geex Hobby Store,2,0.99
swarm intelligence,Geex Hobby Store,1,2.99
frantic search,Cards Store,8,0.50
frantic search,Cards Store,4,19.90
frantic search,Bazar de Bagdá,28,2.99
frantic search,Bazar de Bagdá,14,29.99
frantic search,Bazar de Bagdá,8,3.99
frantic search,Bazar de Bagdá,2,2.99
frantic search,Magic Club,11,4.90
frantic search,Magic Club,6,3.20
frantic search,Magic Club,2,19.90
frantic search,Power9,1,111.50
frantic search,Power9,8,11.50
frantic search,Power9,8,1.50
frantic search,Legends Game Store,3,17.78
frantic search,Legends Game Store,1,4.49
frantic search,Legends Game Store,26,2.69
frantic search,Jaw Games,4,1.50
frantic search,Jaw Games,1,12.50
frantic search,Neowalkers Geek Store,8,1.98
frantic search,Neowalkers Geek Store,3,15.00
frantic search,Livraria do Infinito - MagicJebb,2,13.19
frantic search,Pi Games,2,14.99
frantic search,Território Card Games,2,13.17
frantic search,Território Card Games,1,2.50
frantic search,Card Castle,29,1.98
frantic search,Card Castle,2,12.99
frantic search,VampireX TCG,33,4.83
frantic search,VampireX TCG,6,5.27
frantic search,VampireX TCG,4,13.63
island,Power9,3,699.99
island,Power9,1,32.00
island,Power9,3,19.99
island,Power9,8,0.20
island,ManaFix.net,1,394.95
island,VampireX TCG,48,0.43
island,VampireX TCG,47,0.87
island,VampireX TCG,26,12.31
island,VampireX TCG,5,25.51
island,VampireX TCG,5,50.15
island,VampireX TCG,4,0.22
island,VampireX TCG,3,21.11
island,VampireX TCG,2,0.22
island,VampireX TCG,1,5.27
island,VampireX TCG,1,39.59
island,Elder Dragon Brasil,75,0.18
island,Elder Dragon Brasil,63,0.18
island,Elder Dragon Brasil,48,0.35
island,Elder Dragon Brasil,44,0.18
