card,store,quantity,value
plains,Elder Dragon Brasil,102,0.18
plains,Elder Dragon Brasil,36,0.35
plains,Elder Dragon Brasil,6,10.43
plains,Elder Dragon Brasil,6,0.18
isolated chapel,Magicbembarato,4,22.85
isolated chapel,Magicbembarato,4,25.66
isolated chapel,Magicbembarato,4,25.08
isolated chapel,Magicbembarato,1,49.24
lyra dawnbringer,Lets Collect,2,49.46
lyra dawnbringer,Lets Collect,1,134.96
profane procession,TCGeeK,4,3.15
profane procession,TCGeeK,2,3.15
profane procession,TCGeeK,1,24.30
ethereal absolution,TCGeeK,8,1.50
ethereal absolution,TCGeeK,3,14.00
ethereal absolution,TCGeeK,2,14.00
thief of sanity,TCGeeK,3,20.00
thief of sanity,TCGeeK,1,67.00
cry of the carnarium,Inside Games,67,1.75
cry of the carnarium,Inside Games,1,16.00
deputy of detention,Inside Games,7,20.00
deputy of detention,Inside Games,4,37.50
deputy of detention,Inside Games,1,37.50
glacial fortress,Bazar de Bagdá,13,31.99
glacial fortress,Bazar de Bagdá,13,31.99
glacial fortress,Bazar de Bagdá,5,31.99
glacial fortress,Bazar de Bagdá,4,29.99
glacial fortress,Bazar de Bagdá,3,31.99
glacial fortress,Bazar de Bagdá,3,31.99
glacial fortress,Bazar de Bagdá,2,31.99
glacial fortress,Bazar de Bagdá,2,29.99
glacial fortress,Bazar de Bagdá,2,31.99
glacial fortress,Bazar de Bagdá,2,29.99
glacial fortress,Bazar de Bagdá,2,29.99
glacial fortress,Bazar de Bagdá,1,31.99
glacial fortress,Bazar de Bagdá,1,29.99
glacial fortress,Bazar de Bagdá,1,49.99
glacial fortress,Bazar de Bagdá,1,44.99
glacial fortress,Bazar de Bagdá,1,49.99
glacial fortress,Bazar de Bagdá,1,24.99
glacial fortress,Bazar de Bagdá,1,54.99
"teferi, hero of dominaria",Tutubahia,2,1199.75
"teferi, hero of dominaria",Tutubahia,1,399.75
precognitive perception,VAULT,2,2.50
precognitive perception,VAULT,1,19.00
precognitive perception,Cards Store,4,1.00
precognitive perception,Cards Store,2,1.00
precognitive perception,Cards Store,1,18.99
precognitive perception,Inside Games,46,2.00
precognitive perception,Inside Games,3,12.00
precognitive perception,Inside Games,1,12.00
precognitive perception,Porto Livre Games,3,19.13
precognitive perception,Porto Livre Games,11,2.98
precognitive perception,Cards Of Paradise,55,3.80
precognitive perception,Cards Of Paradise,48,3.80
precognitive perception,Cards Of Paradise,3,11.80
precognitive perception,Cards Of Paradise,2,11.80
precognitive perception,New !QUEST STORE,2,1.00
precognitive perception,New !QUEST STORE,1,12.00
island,ManaFix.net,1,394.95
island,MTG Caxias Cards,6,2.99
island,MTG Caxias Cards,4,1.00
island,Magic House Games,4,0.50
island,Magic House Games,4,29.00
island,Magic House Games,1,0.50
island,Magic House Games,1,90.00
island,Magic House Games,1,6.00
island,Magic House Games,1,14.90
island,Magic House Games,1,7.50
island,Magic House Games,1,44.90
island,Magic House Games,1,25.00
island,Power9,3,699.99
island,Power9,1,32.00
island,Power9,3,19.99
island,Power9,8,0.20
island,Shandalar,17,7.45
island,Shandalar,3,0.95
island,Shandalar,2,0.95
island,Shandalar,2,59.95
island,Shandalar,2,15.75
island,Shandalar,2,27.45
island,Shandalar,1,14.90
island,Shandalar,1,5.45
island,Shandalar,1,7.95
island,Bazar de Bagdá,64,19.99
island,Bazar de Bagdá,32,11.99
island,Bazar de Bagdá,5,44.99
island,Bazar de Bagdá,5,29.99
island,Bazar de Bagdá,5,49.99
island,Bazar de Bagdá,3,39.99
island,Bazar de Bagdá,2,17.99
island,Bazar de Bagdá,1,3.99
island,Inside Games,29,2.00
island,Inside Games,24,10.00
island,Inside Games,5,50.00
island,Inside Games,3,10.00
island,Inside Games,1,4.00
island,Inside Games,1,4.00
island,Inside Games,1,6.00
island,VampireX TCG,48,0.43
island,VampireX TCG,47,0.87
island,VampireX TCG,26,12.31
island,VampireX TCG,5,50.15
island,VampireX TCG,5,25.51
island,VampireX TCG,4,0.22
island,VampireX TCG,3,21.11
island,VampireX TCG,2,0.22
island,VampireX TCG,1,39.59
island,VampireX TCG,1,5.27
island,Card Tutor,11,17.95
island,Card Tutor,8,2.95
island,Card Tutor,2,11.95
island,Card Tutor,1,49.50
island,Newstation,9,14.00
island,Newstation,5,8.00
island,Newstation,1,49.00
island,Newstation,1,48.00
island,Nerdz Cards,4,44.90
island,Nerdz Cards,1,14.90
island,Legends Game Store,2,41.39
island,Legends Game Store,9,8.09
island,Power Up Games,1,2.50
island,Power Up Games,1,40.00
island,Toca do Quati,6,35.00
island,Toca do Quati,4,40.00
island,Toca do Quati,2,10.00
island,Overrun Geek Store,4,42.50
island,Overrun Geek Store,1,1.50
island,Liga Arena,1,39.81
island,Liga Arena,1,4.09
island,Liga Arena,2,14.16
island,Liga Arena,3,17.58
godless shrine,Toca do Quati,9,42.00
godless shrine,Toca do Quati,2,68.00
godless shrine,Toca do Quati,1,53.80
godless shrine,VAULT,1,40.00
godless shrine,VAULT,1,430.00
godless shrine,VAULT,1,375.00
godless shrine,VAULT,1,110.00
island,Magic Club,13,16.75
island,Magic Club,5,9.99
island,Magic Club,1,29.00
island,Magic Club,1,23.00
island,Magic Club,1,39.40
hallowed fountain,VAULT,6,110.00
hallowed fountain,VAULT,1,40.00
hallowed fountain,VAULT,1,37.50
hallowed fountain,VAULT,1,42.50
hallowed fountain,VAULT,1,1150.00
hallowed fountain,VAULT,1,500.00
hallowed fountain,VAULT,1,42.50
hallowed fountain,VAULT,1,40.00
godless shrine,Pharaoh\'s Shop,6,399.90
godless shrine,Pharaoh\'s Shop,1,89.90
hallowed fountain,Bazar de Bagdá,11,49.99
hallowed fountain,Bazar de Bagdá,7,44.99
hallowed fountain,Bazar de Bagdá,4,49.99
hallowed fountain,Bazar de Bagdá,3,49.99
hallowed fountain,Bazar de Bagdá,2,499.99
hallowed fountain,Bazar de Bagdá,2,109.99
hallowed fountain,Bazar de Bagdá,1,69.99
hallowed fountain,Bazar de Bagdá,1,39.99
island,Cards Store,2,39.00
island,Cards Store,2,14.90
island,Cards Store,1,36.00
island,Cards Store,1,3.77
island,Cards Store,1,15.00
island,Cards Store,1,38.00
hallowed fountain,Pharaoh\'s Shop,5,450.00
hallowed fountain,Pharaoh\'s Shop,2,33.00
hallowed fountain,Pharaoh\'s Shop,1,30.00
hallowed fountain,Pharaoh\'s Shop,1,99.00
swamp,Elder Dragon Brasil,13,0.25
swamp,Bazar de Bagdá,51,14.99
swamp,Bazar de Bagdá,46,11.99
swamp,Bazar de Bagdá,23,49.99
swamp,Bazar de Bagdá,14,39.99
swamp,Bazar de Bagdá,5,44.99
swamp,Bazar de Bagdá,4,24.99
swamp,Bazar de Bagdá,2,319.99
swamp,Tutubahia,9,8.75
swamp,Tutubahia,4,17.50
swamp,Tutubahia,3,240.00
swamp,Tutubahia,2,20.00
