card,store,quantity,value
warkite marauder,VAULT,2,10.00
warkite marauder,VAULT,1,17.50
spell pierce,Jaw Games,1,0.50
siren stormtamer,Magicbembarato,4,10.31
siren stormtamer,Magicbembarato,4,46.66
warkite marauder,Cards Of Paradise,1,17.40
warkite marauder,Cards Of Paradise,1,11.80
warkite marauder,Cards Of Paradise,1,11.80
island,Magic Leste,3,29.90
island,Magic Leste,1,24.90
island,Magic Leste,22,6.99
island,Magic Leste,1,0.30
island,Magic Leste,8,0.30
exclusion mage,City Class Games,14,0.69
exclusion mage,City Class Games,3,0.69
exclusion mage,City Class Games,1,11.03
island,Tutubahia,11,10.00
island,Tutubahia,4,20.00
island,Tutubahia,1,10.00
exclusion mage,Newstation,5,1.50
exclusion mage,Newstation,5,8.00
disdainful stroke,City Class Games,5,6.35
disdainful stroke,City Class Games,2,0.82
disdainful stroke,City Class Games,1,0.82
disdainful stroke,Cards Of Paradise,413,0.80
disdainful stroke,Cards Of Paradise,45,0.80
disdainful stroke,Cards Of Paradise,43,0.80
disdainful stroke,Cards Of Paradise,34,0.80
disdainful stroke,Cards Of Paradise,2,7.80
disdainful stroke,Cards Of Paradise,1,7.40
disdainful stroke,Cards Of Paradise,1,3.80
disdainful stroke,VAULT,8,0.50
disdainful stroke,VAULT,7,0.50
disdainful stroke,VAULT,4,0.50
disdainful stroke,VAULT,4,4.00
disdainful stroke,VAULT,3,0.35
disdainful stroke,VAULT,2,4.50
disdainful stroke,VAULT,2,0.50
disdainful stroke,VAULT,1,4.50
disdainful stroke,VAULT,1,5.50
negate,Fire Ice Card Games,11,0.05
negate,Fire Ice Card Games,6,0.08
negate,Fire Ice Card Games,5,0.08
negate,Fire Ice Card Games,2,0.08
negate,Fire Ice Card Games,2,0.08
negate,Fire Ice Card Games,2,0.08
negate,Fire Ice Card Games,1,0.08
negate,Fire Ice Card Games,1,0.08
negate,Fire Ice Card Games,1,0.08
disdainful stroke,Power9,7,5.99
disdainful stroke,Power9,69,0.35
disdainful stroke,Power9,3,0.35
disdainful stroke,Power9,3,0.30
disdainful stroke,Power9,2,0.30
disdainful stroke,Power9,8,0.30
disdainful stroke,VampireX TCG,93,0.43
disdainful stroke,VampireX TCG,47,0.43
disdainful stroke,VampireX TCG,5,0.43
disdainful stroke,VampireX TCG,1,3.74
negate,Cards Of Paradise,334,0.40
negate,Cards Of Paradise,334,0.40
negate,Cards Of Paradise,333,0.40
negate,Cards Of Paradise,294,0.40
negate,Cards Of Paradise,263,0.40
negate,Cards Of Paradise,242,7.80
negate,Cards Of Paradise,209,0.40
negate,Cards Of Paradise,81,0.40
negate,Cards Of Paradise,46,0.40
negate,Cards Of Paradise,46,0.40
negate,Cards Of Paradise,43,0.40
negate,Cards Of Paradise,42,0.40
negate,Cards Of Paradise,42,0.40
negate,Cards Of Paradise,9,0.40
negate,Cards Of Paradise,9,0.40
negate,Cards Of Paradise,7,7.80
negate,Cards Of Paradise,4,7.80
negate,Cards Of Paradise,4,0.40
negate,Cards Of Paradise,4,2.20
negate,Cards Of Paradise,3,0.40
negate,Cards Of Paradise,2,63.80
negate,Cards Of Paradise,2,7.80
negate,Cards Of Paradise,2,7.80
negate,VAULT,11,0.35
negate,VAULT,7,0.35
negate,VAULT,7,0.50
negate,VAULT,7,0.50
negate,VAULT,5,60.00
negate,VAULT,4,5.00
negate,VAULT,4,0.35
negate,VAULT,4,0.50
negate,VAULT,4,0.50
negate,VAULT,3,0.50
negate,VAULT,3,0.50
negate,VAULT,3,0.50
negate,VAULT,3,0.50
negate,VAULT,3,0.50
negate,VAULT,3,4.50
negate,VAULT,3,0.50
negate,VAULT,2,0.50
negate,VAULT,2,0.35
negate,VAULT,2,0.35
negate,VAULT,2,5.00
negate,VAULT,2,6.00
negate,VAULT,2,0.50
negate,VAULT,2,0.35
negate,VAULT,2,0.25
negate,VAULT,2,6.50
negate,VAULT,1,0.35
negate,VAULT,1,4.50
negate,VAULT,1,52.50
negate,VAULT,1,7.00
negate,VAULT,1,5.50
negate,VAULT,1,0.50
negate,VAULT,1,7.00
negate,VAULT,1,4.50
negate,VAULT,1,0.50
negate,VAULT,1,0.25
negate,VAULT,1,0.20
negate,VAULT,1,4.00
negate,VAULT,1,0.50
negate,VAULT,1,45.00
negate,VAULT,1,4.00
negate,VAULT,1,0.25
negate,VAULT,1,27.50
negate,VAULT,1,0.35
negate,VAULT,1,7.00
negate,VAULT,1,0.50
negate,VAULT,1,0.50
negate,VAULT,1,0.50
negate,VAULT,1,3.75
negate,VAULT,1,30.00
negate,VAULT,1,0.50
negate,VAULT,1,7.00
negate,VAULT,1,0.50
negate,VAULT,1,0.50
disdainful stroke,Pharaoh\'s Shop,26,0.20
disdainful stroke,Pharaoh\'s Shop,22,0.20
disdainful stroke,Pharaoh\'s Shop,6,0.20
disdainful stroke,Pharaoh\'s Shop,1,4.99
disdainful stroke,Pharaoh\'s Shop,1,0.20
disdainful stroke,Inside Games,164,1.00
disdainful stroke,Inside Games,78,1.25
disdainful stroke,Inside Games,2,6.00
negate,Newstation,8,0.35
negate,Newstation,8,0.50
negate,Newstation,8,0.35
negate,Newstation,8,0.50
negate,Newstation,8,0.35
negate,Newstation,8,0.50
negate,Newstation,8,0.50
negate,Newstation,8,0.50
negate,Newstation,7,0.50
negate,Newstation,6,0.50
negate,Newstation,4,0.50
negate,Newstation,4,0.50
negate,Newstation,2,0.50
negate,Newstation,2,60.00
negate,Newstation,2,7.00
negate,Newstation,1,6.00
negate,Padrinho: Card Store,31,0.25
negate,Padrinho: Card Store,17,0.25
negate,Padrinho: Card Store,11,0.25
negate,Padrinho: Card Store,7,0.25
negate,Padrinho: Card Store,6,0.25
negate,Padrinho: Card Store,2,0.25
negate,Padrinho: Card Store,1,0.25
negate,Pharaoh\'s Shop,44,0.20
negate,Pharaoh\'s Shop,42,0.20
negate,Pharaoh\'s Shop,41,2.90
negate,Pharaoh\'s Shop,37,0.20
negate,Pharaoh\'s Shop,29,0.20
negate,Pharaoh\'s Shop,25,0.20
negate,Pharaoh\'s Shop,24,0.20
negate,Pharaoh\'s Shop,23,0.20
negate,Pharaoh\'s Shop,19,0.20
negate,Pharaoh\'s Shop,16,0.20
negate,Pharaoh\'s Shop,15,0.20
negate,Pharaoh\'s Shop,14,0.20
negate,Pharaoh\'s Shop,8,0.20
negate,Pharaoh\'s Shop,8,0.20
negate,Pharaoh\'s Shop,7,0.20
negate,Pharaoh\'s Shop,7,0.20
negate,Pharaoh\'s Shop,6,0.15
negate,Pharaoh\'s Shop,6,0.20
negate,Pharaoh\'s Shop,6,0.15
negate,Pharaoh\'s Shop,5,0.15
negate,Pharaoh\'s Shop,4,0.15
negate,Pharaoh\'s Shop,4,0.20
negate,Pharaoh\'s Shop,3,0.15
negate,Pharaoh\'s Shop,3,0.15
negate,Pharaoh\'s Shop,3,0.15
negate,Pharaoh\'s Shop,3,0.15
negate,Pharaoh\'s Shop,2,49.90
negate,Pharaoh\'s Shop,2,3.00
negate,Pharaoh\'s Shop,2,0.20
negate,Pharaoh\'s Shop,1,0.15
negate,Pharaoh\'s Shop,1,0.20
negate,Pharaoh\'s Shop,1,0.15
negate,Pharaoh\'s Shop,1,0.20
negate,Pharaoh\'s Shop,1,45.00
negate,Pharaoh\'s Shop,1,0.15
negate,Pharaoh\'s Shop,1,0.15
negate,Pharaoh\'s Shop,1,0.08
negate,Pharaoh\'s Shop,1,0.15
negate,Pharaoh\'s Shop,1,0.20
negate,Pharaoh\'s Shop,1,0.15
negate,Pharaoh\'s Shop,1,0.10
negate,Bazar de Bagdá,38,0.49
negate,Bazar de Bagdá,33,9.99
negate,Bazar de Bagdá,31,0.49
negate,Bazar de Bagdá,31,0.49
negate,Bazar de Bagdá,31,0.49
negate,Bazar de Bagdá,22,0.49
negate,Bazar de Bagdá,17,0.49
negate,Bazar de Bagdá,17,0.49
negate,Bazar de Bagdá,17,0.49
negate,Bazar de Bagdá,16,0.49
negate,Bazar de Bagdá,15,0.49
negate,Bazar de Bagdá,13,0.49
negate,Bazar de Bagdá,12,0.49
negate,Bazar de Bagdá,11,0.49
negate,Bazar de Bagdá,9,6.99
negate,Bazar de Bagdá,8,0.49
negate,Bazar de Bagdá,7,34.99
negate,Bazar de Bagdá,6,7.99
negate,Bazar de Bagdá,6,7.99
negate,Bazar de Bagdá,4,19.99
negate,Bazar de Bagdá,3,49.99
negate,Bazar de Bagdá,3,0.39
negate,Bazar de Bagdá,3,9.99
negate,Bazar de Bagdá,2,7.99
negate,Bazar de Bagdá,2,59.99
negate,Bazar de Bagdá,2,0.99
negate,Bazar de Bagdá,1,0.49
negate,Bazar de Bagdá,1,7.99
negate,Bazar de Bagdá,1,9.99
negate,Bazar de Bagdá,1,29.99
negate,Bazar de Bagdá,1,9.99
negate,Jaw Games,3,0.15
negate,Jaw Games,2,49.90
negate,Jaw Games,1,0.15
negate,Jaw Games,1,0.15
negate,Jaw Games,1,0.15
negate,Porto Livre Games,1,53.13
negate,Porto Livre Games,1,3.39
negate,Porto Livre Games,8,0.25
negate,Porto Livre Games,39,0.21
negate,Porto Livre Games,7,0.21
negate,Porto Livre Games,6,0.21
negate,Porto Livre Games,11,0.21
negate,Mineral Games,3,50.00
negate,Mineral Games,1,2.50
negate,Mineral Games,16,0.25
negate,Mineral Games,7,0.20
negate,Mineral Games,17,0.20
negate,Mineral Games,4,0.20
negate,Mineral Games,5,0.20
negate,Mineral Games,9,0.20
negate,Mineral Games,24,0.20
negate,Mineral Games,8,0.20
negate,Mineral Games,12,0.20
negate,Mineral Games,1,0.20
negate,Mineral Games,12,0.20
negate,Mineral Games,4,0.20
negate,Overrun Geek Store,4,4.00
negate,Overrun Geek Store,4,0.25
negate,Overrun Geek Store,3,0.25
negate,Overrun Geek Store,2,0.50
negate,Overrun Geek Store,2,0.55
negate,Overrun Geek Store,1,52.00
negate,Overrun Geek Store,1,0.25
negate,Overrun Geek Store,1,0.25
negate,Overrun Geek Store,1,25.00
negate,Overrun Geek Store,1,0.25
negate,RED Jogos,1,50.00
negate,RED Jogos,4,18.00
negate,RED Jogos,4,4.50
negate,RED Jogos,8,0.35
negate,RED Jogos,3,0.25
negate,RED Jogos,5,0.25
negate,RED Jogos,5,0.25
negate,RED Jogos,6,0.25
negate,RED Jogos,8,0.25
negate,RED Jogos,3,0.25
negate,RED Jogos,5,0.25
negate,RED Jogos,1,0.25
negate,RED Jogos,2,0.25
negate,RED Jogos,6,0.25
negate,RED Jogos,8,0.20
negate,CHQ Cards,59,0.60
negate,CHQ Cards,49,0.60
negate,CHQ Cards,48,0.70
negate,CHQ Cards,48,0.60
negate,CHQ Cards,43,0.60
negate,CHQ Cards,43,0.60
negate,CHQ Cards,42,0.70
negate,CHQ Cards,41,0.60
negate,CHQ Cards,33,0.60
negate,CHQ Cards,7,0.60
negate,CHQ Cards,5,0.90
negate,CHQ Cards,5,0.70
negate,CHQ Cards,3,0.70
negate,CHQ Cards,2,49.90
negate,CHQ Cards,1,6.00
negate,Card Tutor,13,0.35
negate,Card Tutor,9,0.35
negate,Card Tutor,9,0.35
negate,Card Tutor,8,0.35
negate,Card Tutor,8,2.95
negate,Card Tutor,8,0.35
negate,Card Tutor,8,0.35
negate,Card Tutor,7,0.35
negate,Card Tutor,4,0.50
negate,Card Tutor,3,0.35
negate,Card Tutor,2,39.50
negate,Card Tutor,2,44.95
negate,Card Tutor,2,4.00
negate,Card Tutor,1,0.50
negate,Card Tutor,1,4.50
negate,Card Tutor,1,24.95
negate,Cards Store,8,0.50
negate,Cards Store,2,0.45
negate,Cards Store,2,0.75
negate,Cards Store,2,0.45
negate,Cards Store,2,39.90
negate,Cards Store,1,0.90
negate,Cards Store,1,0.50
negate,Cards Store,1,0.45
negate,Cards Store,1,0.45
negate,Cards Store,1,1.50
negate,Cards Store,1,0.50
negate,Cards Store,1,39.00
negate,Cards Store,1,0.90
negate,Cards Store,1,0.45
negate,Cards Store,1,0.50
negate,Cards Store,1,5.00
negate,Cards Store,1,5.00
negate,Cards Store,1,0.50
negate,Cards Store,1,5.00
negate,TCGeeK,74,0.60
negate,TCGeeK,56,0.60
negate,TCGeeK,55,0.60
negate,TCGeeK,38,0.50
negate,TCGeeK,36,0.81
negate,TCGeeK,25,0.60
negate,TCGeeK,24,0.60
negate,TCGeeK,22,0.65
negate,TCGeeK,13,7.00
negate,TCGeeK,9,0.50
negate,TCGeeK,8,0.60
negate,TCGeeK,8,0.60
negate,TCGeeK,5,10.00
negate,TCGeeK,4,0.60
negate,TCGeeK,4,0.60
negate,TCGeeK,3,0.60
negate,TCGeeK,2,6.30
negate,TCGeeK,1,0.60
negate,TCGeeK,1,10.00
negate,TCGeeK,1,8.00
negate,TCGeeK,1,4.60
negate,TCGeeK,1,10.00
