card,store,quantity,value
lethal sting,Bazar de Bagdá,8,0.49
supernatural stamina,Magicbembarato,6,0.90
supernatural stamina,Magicbembarato,4,2.66
supernatural stamina,Magicbembarato,4,0.90
supernatural stamina,Magicbembarato,2,4.28
supernatural stamina,Konklave FunStore,6,3.99
supernatural stamina,Konklave FunStore,8,0.50
supernatural stamina,Konklave FunStore,8,0.50
lethal sting,Konklave FunStore,1,2.50
lethal sting,Konklave FunStore,8,0.50
defiant greatmaw,Tokenlandia Cards,5,4.30
defiant greatmaw,Pi Games,11,0.65
defiant greatmaw,Pi Games,1,3.00
obelisk spider,Magicbembarato,6,0.92
banewhip punisher,Medieval Cards,9,0.50
banewhip punisher,Medieval Cards,1,1.50
banewhip punisher,Medieval Cards,1,2.00
banewhip punisher,Medieval Cards,1,2.00
altar's reap,Lets Collect,25,0.23
altar's reap,Lets Collect,24,0.23
altar's reap,Lets Collect,22,0.23
altar's reap,Lets Collect,9,0.23
altar's reap,Lets Collect,4,0.23
altar's reap,Lets Collect,1,0.41
altar's reap,Lets Collect,1,2.25
baleful ammit,Cards Of Paradise,9,3.75
baleful ammit,Cards Of Paradise,9,0.75
baleful ammit,Cards Of Paradise,2,0.75
nest of scarabs,Magicbembarato,6,1.14
nest of scarabs,Magicbembarato,2,4.28
jungle hollow,Cards Of Paradise,569,0.75
jungle hollow,Cards Of Paradise,46,0.75
jungle hollow,Cards Of Paradise,45,0.75
jungle hollow,Cards Of Paradise,45,4.75
jungle hollow,Cards Of Paradise,28,0.75
jungle hollow,Cards Of Paradise,6,0.75
jungle hollow,Cards Of Paradise,3,4.75
jungle hollow,Cards Of Paradise,2,4.75
jungle hollow,Cards Of Paradise,1,4.75
nest of scarabs,Universo Magic,8,0.20
nest of scarabs,Universo Magic,1,0.20
nest of scarabs,Universo Magic,1,2.00
nest of scarabs,Newstation,8,1.00
nest of scarabs,Newstation,1,3.50
nest of scarabs,TCGeeK,22,0.75
nest of scarabs,TCGeeK,3,0.94
nest of scarabs,TCGeeK,2,0.94
nest of scarabs,TCGeeK,1,2.10
nest of scarabs,Power Up Games,12,1.00
nest of scarabs,Power Up Games,1,1.50
nest of scarabs,Basics Cards,1,1.49
nest of scarabs,Basics Cards,4,0.19
nest of scarabs,Refúgio do Dragão,1,1.50
nest of scarabs,Refúgio do Dragão,1,0.20
nest of scarabs,Magic Store Brasil,51,1.00
nest of scarabs,Inside Games,18,1.00
nest of scarabs,Cards Outlet,8,1.15
nest of scarabs,Cards Of Paradise,47,1.00
nest of scarabs,Chuck TCG,8,0.50
nest of scarabs,Chuck TCG,1,1.00
nest of scarabs,CHQ Cards,41,1.00
hapatra's mark,Newstation,8,1.00
hapatra's mark,Newstation,1,3.00
hapatra's mark,Newstation,1,1.00
hapatra's mark,Newstation,1,1.00
hapatra's mark,Cards Of Paradise,49,1.00
hapatra's mark,Cards Of Paradise,9,4.75
hapatra's mark,Chuck TCG,12,0.75
hapatra's mark,Chuck TCG,1,2.50
nest of scarabs,Neowalkers Geek Store,3,0.98
hapatra's mark,Pi Games,11,1.99
hapatra's mark,Medieval Cards,3,0.50
hapatra's mark,Medieval Cards,2,1.99
hapatra's mark,Medieval Cards,1,1.50
nest of scarabs,Bazar de Bagdá,21,0.99
hapatra's mark,Arena Hobby Store,16,0.25
hapatra's mark,Arena Hobby Store,5,1.99
hapatra's mark,Pharaoh\'s Shop,1,1.50
hapatra's mark,Pharaoh\'s Shop,1,0.25
hapatra's mark,Universo Magic,1,1.50
hapatra's mark,House of Cards - Card Games,17,0.25
hapatra's mark,House of Cards - Card Games,1,1.95
hapatra's mark,Gideon\'s Palace,3,0.20
hapatra's mark,Gideon\'s Palace,1,1.45
hapatra's mark,Cards e Games,12,0.49
hapatra's mark,Cards e Games,6,0.49
hapatra's mark,Cards e Games,1,1.50
hapatra's mark,Inside Games,24,1.25
hapatra's mark,Load or Cast,2,1.45
hapatra's mark,Load or Cast,29,0.40
hapatra's mark,Lets Collect,28,0.45
hapatra's mark,Lets Collect,1,1.35
hapatra's mark,Bazar de Bagdá,19,1.25
hapatra's mark,Mineral Games,1,1.00
hapatra's mark,Mineral Games,2,0.50
hapatra's mark,Tokenlandia Cards,1,1.00
hapatra's mark,Ilusões Industriais,2,1.00
hapatra's mark,Ilusões Industriais,9,0.25
hapatra's mark,Magic Club,21,0.25
hapatra's mark,Magic Club,2,0.95
hapatra's mark,Cards Outlet,22,0.85
hapatra's mark,TCGeeK,19,0.75
hapatra's mark,Magicbembarato,8,0.77
hapatra's mark,City Class Games,32,0.75
hapatra's mark,AnimeToys Sorocaba,23,0.75
hapatra's mark,Meruru,3,0.75
hapatra's mark,Meruru,1,0.75
crocodile of the crossing,Tokenlandia Cards,3,2.99
hapatra's mark,Toca do Quati,1,0.90
crocodile of the crossing,Cards Of Paradise,11,1.75
crocodile of the crossing,Cards Of Paradise,1,0.75
crocodile of the crossing,Inside Games,24,1.00
crocodile of the crossing,Miragem Hobby,15,0.34
crocodile of the crossing,Miragem Hobby,1,1.75
crocodile of the crossing,Reino Magic,1,1.50
crocodile of the crossing,Magic Store Brasil,67,1.00
crocodile of the crossing,CHQ Cards,3,1.60
crocodile of the crossing,City Class Games,13,0.99
crocodile of the crossing,City Class Games,1,0.99
crocodile of the crossing,City Class Games,1,0.99
crocodile of the crossing,Bazar de Bagdá,24,0.99
crocodile of the crossing,Geex Hobby Store,39,0.19
crocodile of the crossing,Geex Hobby Store,2,0.99
crocodile of the crossing,Cabala MtG,4,0.88
crocodile of the crossing,Lets Collect,1,0.86
crocodile of the crossing,TCGeeK,26,0.75
crocodile of the crossing,TCGeeK,4,0.94
crocodile of the crossing,TCGeeK,2,0.94
hapatra's mark,DeckMasterGames,1,0.88
crocodile of the crossing,Magic Leste,1,0.75
crocodile of the crossing,Magic Leste,17,0.19
crocodile of the crossing,Newstation,8,1.00
crocodile of the crossing,Newstation,2,1.00
crocodile of the crossing,Newstation,1,1.00
crocodile of the crossing,Meruru,15,0.75
crocodile of the crossing,Magicbembarato,6,0.71
crocodile of the crossing,Tutubahia,4,0.63
crocodile of the crossing,Epic Game,13,0.75
crocodile of the crossing,ManaFix.net,3,0.60
crocodile of the crossing,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,0.60
crocodile of the crossing,Card Tutor,8,0.50
crocodile of the crossing,Valhala Store,6,0.50
crocodile of the crossing,Medieval Cards,13,0.50
crocodile of the crossing,Chuck TCG,8,0.50
crocodile of the crossing,Ilusões Industriais,4,0.50
