card,store,quantity,value
mind spring,Magic Store Brasil,1,0.40
mind spring,Nerdz Cards,1,11.90
desolate lighthouse,Pi Games,1,4.99
desolate lighthouse,Pi Games,1,29.99
commander's sphere,VAULT,7,4.00
commander's sphere,VAULT,6,4.00
commander's sphere,VAULT,4,4.00
commander's sphere,VAULT,3,3.50
commander's sphere,VAULT,1,83.70
commander's sphere,VAULT,1,2.75
commander's sphere,VAULT,1,4.00
swiftwater cliffs,Panteão Games,1,2.00
epic experiment,Hobby Center,1,10.00
epic experiment,Hobby Center,3,1.25
curiosity,Cards Of Paradise,34,3.75
curiosity,Cards Of Paradise,3,3.75
curiosity,Cards Of Paradise,1,9.75
commander's sphere,Bazar de Bagdá,5,99.99
commander's sphere,Bazar de Bagdá,3,4.99
commander's sphere,Bazar de Bagdá,2,4.99
commander's sphere,Bazar de Bagdá,1,4.99
commander's sphere,Bazar de Bagdá,1,4.99
commander's sphere,Bazar de Bagdá,1,4.99
curiosity,Power9,1,15.00
curiosity,Power9,9,0.00
"niv-mizzet, parun",Ascensão,1,0.00
"niv-mizzet, parun",Ascensão,1,7.49
"niv-mizzet, parun",City Class Games,24,9.75
"niv-mizzet, parun",City Class Games,2,9.75
"niv-mizzet, parun",City Class Games,1,9.75
"niv-mizzet, parun",City Class Games,1,49.99
"niv-mizzet, parun",City Class Games,1,49.99
curiosity,TCGeeK,5,1.88
curiosity,TCGeeK,1,8.46
lonely sandbar,Bazar de Bagdá,41,0.99
lonely sandbar,Bazar de Bagdá,16,0.99
lonely sandbar,Bazar de Bagdá,3,0.99
lonely sandbar,Bazar de Bagdá,2,0.99
lonely sandbar,Bazar de Bagdá,2,0.99
lonely sandbar,Bazar de Bagdá,1,79.99
swiftwater cliffs,Cards Of Paradise,172,1.00
swiftwater cliffs,Cards Of Paradise,47,1.00
swiftwater cliffs,Cards Of Paradise,37,1.00
swiftwater cliffs,Cards Of Paradise,36,1.00
swiftwater cliffs,Cards Of Paradise,36,1.00
swiftwater cliffs,Cards Of Paradise,35,1.00
swiftwater cliffs,Cards Of Paradise,25,4.75
swiftwater cliffs,Cards Of Paradise,24,1.00
lonely sandbar,TCGeeK,8,1.88
lonely sandbar,TCGeeK,2,0.80
lonely sandbar,TCGeeK,1,0.94
lonely sandbar,TCGeeK,1,0.80
lonely sandbar,TCGeeK,1,0.94
lonely sandbar,Cards Of Paradise,49,1.75
lonely sandbar,Cards Of Paradise,39,1.75
izzet boilerworks,City Class Games,1,12.50
izzet boilerworks,City Class Games,1,0.99
izzet boilerworks,Cards Of Paradise,52,2.00
izzet boilerworks,Cards Of Paradise,31,2.00
izzet boilerworks,Cards Of Paradise,25,2.00
izzet boilerworks,Cards Of Paradise,24,2.00
izzet boilerworks,Cards Of Paradise,22,2.00
izzet boilerworks,Cards Of Paradise,18,2.00
izzet boilerworks,Cards Of Paradise,1,9.75
izzet boilerworks,Cards Of Paradise,1,9.75
izzet boilerworks,Bazar de Bagdá,18,1.49
izzet boilerworks,Bazar de Bagdá,13,1.99
izzet boilerworks,Bazar de Bagdá,3,1.49
izzet boilerworks,Bazar de Bagdá,1,9.99
lonely sandbar,Mulligan Geek Store,17,1.25
lonely sandbar,Mulligan Geek Store,12,1.00
lonely sandbar,Mulligan Geek Store,4,1.25
lonely sandbar,Mulligan Geek Store,2,1.25
lonely sandbar,Mulligan Geek Store,1,1.00
lonely sandbar,Mulligan Geek Store,1,149.75
lonely sandbar,Konklave FunStore,8,2.00
lonely sandbar,Konklave FunStore,1,1.00
lonely sandbar,Konklave FunStore,8,1.00
izzet boilerworks,VAULT,2,4.65
izzet boilerworks,VAULT,2,8.37
izzet boilerworks,VAULT,2,1.75
izzet boilerworks,VAULT,2,1.75
izzet boilerworks,VAULT,1,1.75
izzet boilerworks,VAULT,1,1.76
izzet boilerworks,Basics Cards,1,0.22
izzet boilerworks,VampireX TCG,5,1.31
izzet boilerworks,VampireX TCG,1,8.79
izzet boilerworks,VampireX TCG,1,0.87
izzet boilerworks,VampireX TCG,1,8.79
izzet boilerworks,Konklave FunStore,1,9.50
izzet boilerworks,Konklave FunStore,8,2.25
izzet boilerworks,Konklave FunStore,5,2.00
izzet boilerworks,Newstation,4,1.70
izzet boilerworks,Newstation,3,2.00
izzet boilerworks,Newstation,2,8.00
izzet boilerworks,Newstation,2,1.50
izzet boilerworks,Epic Game,5,7.99
izzet boilerworks,TCGeeK,4,1.13
izzet boilerworks,TCGeeK,3,1.13
izzet boilerworks,TCGeeK,1,1.13
izzet boilerworks,TCGeeK,1,1.13
izzet boilerworks,TCGeeK,1,1.13
izzet boilerworks,TCGeeK,1,1.13
izzet boilerworks,TCGeeK,1,7.52
izzet boilerworks,Tutubahia,8,1.25
