price	stores	missing_cards
2879.68	4	0
2937.06	3	0
2860.59	3	0
2842.23	4	0
2928.45	3	0
2844.62	3	0
2837.74	4	0
2902.97	3	0
2881.64	3	0
2317.75	2	4
2899.48	3	0
2970.73	3	0
2834.00	4	0
2889.40	3	0
2906.63	3	0
2834.00	4	0
2962.64	3	0
2814.34	5	0
2881.64	3	0
2317.75	2	4
3108.21	2	0
2834.00	4	0
2860.59	3	0
2912.02	3	0
2937.06	3	0
2852.86	4	0
2860.59	3	0
2907.66	3	0
2812.60	4	0
2843.93	4	0
2937.06	3	0
2596.98	3	4
2860.59	3	0
2855.27	4	0
2907.66	3	0
2793.61	4	0
2899.48	3	0
2430.35	3	6
2937.06	3	0
2850.96	4	0
2928.45	3	0
2852.86	4	0
2903.91	3	0
2937.06	3	0
2837.60	4	0
2937.06	3	0
2852.86	4	0
2860.59	3	0
2855.11	3	2
2826.04	3	0
2811.58	4	0
2902.97	3	0
2882.16	3	1
2852.86	4	0
2920.62	3	0
2874.26	3	0
2669.64	2	6
2881.64	3	0
2913.19	2	1
2820.05	5	0
2317.75	2	4
2841.84	4	0
2962.97	2	0
2937.06	3	0
2904.82	4	0
2899.85	3	1
2474.11	2	4
2834.00	4	0
2937.06	3	0
2837.74	4	0
2902.97	3	0
2837.74	4	0
2937.06	3	0
2970.73	3	0
2883.53	4	0
2881.64	3	0
2317.75	2	4
2860.59	3	0
2844.62	3	0
2606.36	4	4
2852.86	4	0
2937.06	3	0
2852.86	4	0
2882.99	3	0
2860.59	3	0
2999.76	2	0
2984.08	3	0
2865.13	4	0
2870.79	4	0
2922.97	3	0
2834.00	4	0
2902.97	3	0
2855.27	4	0
2907.66	3	0
2842.85	4	0
2937.06	3	0
2843.21	4	0
2881.64	3	0
2317.75	2	4
2821.00	4	0
2937.06	3	0
2949.72	3	0
2846.23	4	0
2596.98	3	4
2897.95	3	0
2899.48	3	0
2810.08	4	0
2862.79	3	0
2834.00	4	0
2937.68	3	0
2902.97	3	0
2834.00	4	0
2937.06	3	0
2789.49	4	0
2596.98	3	4
2834.00	4	0
2962.97	2	0
2806.37	4	0
2905.76	3	0
2881.64	3	0
2317.75	2	4
2902.97	3	0
2834.00	4	0
2872.06	4	0
2970.73	3	0
2999.76	2	0
2970.73	3	0
2821.29	4	0
2881.64	3	0
2820.88	4	0
2317.75	2	4
2882.78	3	0
2937.06	3	0
2834.00	4	0
2860.59	3	0
2860.59	3	0
2970.73	3	0
2834.00	4	0
2821.29	4	0
2949.72	3	0
2852.86	4	0
2899.48	3	0
2852.86	4	0
2906.68	3	0
2913.19	2	1
2882.99	3	0
2896.67	3	0
2810.08	4	0
2596.98	3	4
2852.86	4	0
2937.06	3	0
2964.44	3	0
2829.78	4	0
2860.59	3	0
2843.93	4	0
2905.76	3	0
2596.98	3	4
2788.00	4	0
2962.97	2	0
2852.86	4	0
2999.76	2	0
2852.86	4	0
2970.73	3	0
2860.59	3	0
2844.62	3	0
2823.68	4	0
2834.00	4	0
2962.97	2	0
2834.00	4	0
2970.73	3	0
2937.06	3	0
2837.74	4	0
2844.62	3	0
2877.95	3	0
2899.48	3	0
2834.69	4	0
2831.85	5	0
2899.48	3	0
2789.75	4	1
2962.97	2	0
2834.00	4	0
2902.97	3	0
2899.48	3	0
2878.53	5	0
2902.97	3	0
2805.88	5	0
2852.86	4	0
2826.04	3	0
2902.97	3	0
2800.75	4	0
