price	stores	missing_cards
1972.79	9	0
1858.21	10	0
2009.37	8	0
1992.76	8	0
1824.55	11	0
1887.87	9	0
1833.06	9	0
1974.56	8	0
1910.34	9	0
1993.30	8	0
1852.49	9	0
1827.28	10	0
2030.47	8	0
1939.97	10	0
1866.92	9	0
1974.46	8	0
1894.09	8	0
1998.82	8	0
1982.07	9	0
1801.67	11	0
1942.10	10	0
1842.61	10	0
2013.24	7	0
2239.93	8	0
1833.86	10	0
1967.74	9	0
1907.05	8	0
1995.44	8	0
1872.42	10	0
1956.53	9	0
1974.39	8	0
1871.15	9	0
1811.76	10	0
1906.46	8	0
1980.53	7	0
1914.12	6	0
2183.79	8	0
1935.51	9	0
1797.29	10	0
1852.72	10	0
1970.60	9	0
2019.47	8	0
1879.30	10	0
1948.20	7	0
2028.77	8	0
1875.31	9	0
1869.58	8	0
1917.71	9	0
1985.24	8	0
1961.85	9	0
1881.25	10	0
1979.06	8	0
1833.56	9	0
1978.95	8	0
1903.39	9	0
2088.99	8	0
1858.11	8	0
1911.00	11	0
1966.04	9	0
1988.42	8	0
1908.15	9	0
1950.11	8	0
1819.16	10	0
1949.43	7	1
1867.69	9	0
1897.67	10	0
2067.32	8	0
1955.76	9	0
2063.49	8	0
1756.67	11	0
1843.85	9	0
1903.55	11	0
1992.47	10	0
2008.45	9	0
2212.11	8	0
1843.46	10	0
1955.40	9	0
1857.49	9	0
2015.05	8	0
1885.63	9	0
2006.47	8	0
2066.60	8	0
1875.23	9	0
1906.19	9	0
1899.21	8	0
1829.24	9	0
1848.24	8	0
1880.44	9	0
2018.95	8	0
1909.95	9	0
1916.09	9	0
1829.45	10	0
2030.43	8	0
1909.95	9	0
1859.61	11	0
1930.39	9	0
2020.42	8	0
1908.19	10	0
1978.50	8	0
1844.52	9	0
2001.99	8	0
1965.09	9	0
1867.12	10	0
1926.28	9	0
2153.16	6	0
2013.90	8	0
1884.50	9	0
1841.37	11	0
1895.31	9	0
2201.84	8	0
1889.08	9	0
1999.79	8	0
1823.70	10	0
1798.74	11	0
1842.44	10	0
1920.44	9	0
1871.68	10	0
1930.13	7	0
1957.90	8	0
1853.52	9	0
2009.73	8	0
1848.98	9	0
1982.08	8	0
1833.21	10	0
1847.45	9	0
1904.58	10	0
1968.68	8	0
1941.15	9	0
2003.71	8	0
1791.96	10	0
1904.32	8	0
1937.16	9	0
1790.07	11	0
2011.59	8	0
1982.70	9	0
1811.90	11	0
1928.26	10	0
2009.29	8	0
1954.60	8	0
1846.65	9	0
2000.46	8	0
1827.07	9	0
1906.47	9	0
1886.39	8	0
1826.14	10	0
1961.31	9	0
1998.48	8	0
1863.89	9	0
1934.01	10	0
1974.58	7	0
1895.13	8	0
1847.51	9	0
1890.31	10	0
1958.67	8	0
1828.17	10	0
1921.96	9	0
1830.21	11	0
1941.32	9	0
1967.74	9	0
2026.91	8	0
1923.87	10	0
1742.04	12	0
1837.26	10	0
1866.31	9	0
1804.90	10	0
1860.53	9	0
2008.80	8	0
1898.02	9	0
1829.78	10	0
1892.40	8	0
1845.96	11	0
1876.16	10	0
1802.59	11	0
1913.60	9	0
2045.16	8	0
2124.41	8	0
1804.95	10	0
1958.02	9	0
1856.00	10	0
1960.27	8	0
