price	stores	missing_cards
1799.89	4	0
1898.60	3	0
1787.96	6	0
1944.67	3	0
1855.86	4	0
1975.29	3	0
1772.56	4	0
1531.12	2	4
1822.50	3	0
1793.87	4	0
1778.58	4	0
1898.60	3	0
1599.92	3	1
1766.32	5	0
1822.50	3	0
1922.45	3	0
1760.12	4	0
1850.20	4	0
1910.25	3	0
1811.01	5	0
1806.95	3	3
1470.08	2	6
1828.28	4	0
1801.32	5	0
1885.66	3	0
1802.32	4	0
1898.60	3	0
1875.89	4	0
1916.06	3	0
1798.76	5	0
1913.37	3	0
1791.58	4	0
1732.85	3	4
1833.09	5	0
1884.43	3	0
1115.66	2	5
1784.05	4	0
1791.99	3	2
1622.49	2	5
1922.45	3	0
1783.20	4	0
1769.31	5	0
1944.67	3	0
1793.87	4	0
1838.78	3	0
1795.18	4	0
1818.95	2	6
1937.56	3	0
1780.70	4	0
1599.92	3	1
1818.81	4	0
1913.37	3	0
1778.26	4	0
1937.56	3	0
1797.56	3	0
1780.70	4	0
1622.49	2	5
1599.92	3	1
1800.16	4	0
1840.89	4	0
1854.85	3	0
1685.70	3	1
1803.21	5	0
1470.08	2	6
1780.70	4	0
1599.92	3	1
1768.41	5	0
1922.45	3	0
1818.81	4	0
1750.19	5	0
1867.25	4	0
1922.45	3	0
1910.25	3	0
1760.12	4	0
1939.44	3	0
1808.11	4	0
1786.85	4	0
1752.73	5	0
1887.15	3	0
1856.07	4	0
1756.44	5	0
1772.22	4	0
1769.80	5	0
1863.62	4	0
1770.04	5	0
1841.12	3	0
1825.58	4	0
1792.25	4	0
1922.45	3	0
1780.16	5	0
1838.78	3	0
1790.63	4	0
1818.95	2	6
1732.85	3	4
1937.56	3	0
1779.82	4	0
1791.99	3	2
1622.49	2	5
1913.37	3	0
1796.79	5	0
1822.84	4	0
1814.40	5	0
1874.85	3	0
1862.08	4	0
1767.66	5	0
1922.45	3	0
1786.85	4	0
1910.25	3	0
1898.60	3	0
1846.99	4	0
1833.15	4	0
1913.37	3	0
1898.60	3	0
1780.70	4	0
1599.92	3	1
1751.98	5	0
1913.37	3	0
1842.79	4	0
1769.23	5	0
1922.45	3	0
1842.20	4	0
1599.92	3	1
1937.56	3	0
1794.80	4	0
1774.39	5	0
1798.09	4	0
1939.44	3	0
1835.15	4	0
1753.10	5	0
1943.07	3	0
1784.17	4	0
1762.58	5	0
1820.39	4	0
1918.41	3	0
1769.55	5	0
1810.87	4	0
1768.46	5	0
1862.08	4	0
1844.59	4	0
1772.74	5	0
1939.44	3	0
1822.58	3	5
1779.54	5	0
1867.25	4	0
1809.59	5	0
1837.62	4	0
1796.62	5	0
1841.78	3	0
1824.74	4	0
1800.82	5	0
1826.08	4	0
1756.33	5	0
1873.75	3	0
1515.40	2	2
1852.11	3	0
1797.80	5	0
1780.02	2	1
1340.09	1	5
1858.53	4	0
1803.52	5	0
1910.25	3	0
1943.07	3	0
1772.56	4	0
1898.60	3	0
1819.01	4	0
1779.54	5	0
1799.10	3	2
1816.34	5	0
1910.25	3	0
1841.85	4	0
1766.37	5	0
1778.58	4	0
1599.92	3	1
1779.56	4	0
1922.45	3	0
1781.17	4	0
1793.54	5	0
1857.79	4	0
1922.45	3	0
1792.94	4	0
1802.61	4	0
1921.86	3	0
1893.15	2	3
1903.55	3	0
1739.43	5	0
1813.70	4	0
1774.81	5	0
1860.20	4	0
1910.25	3	0
1910.25	3	0
1793.42	4	0
1790.76	4	0
1800.65	4	0
1841.87	3	1
1801.46	5	0
1822.50	3	0
1799.89	4	0
1954.24	3	0
1802.20	4	0
1779.61	5	0
1856.83	3	2
1922.45	3	0
1814.48	4	0
1898.60	3	0
1749.42	4	0
1568.29	3	3
1939.44	3	0
1868.42	4	0
1770.04	5	0
1898.60	3	0
1798.35	4	0
1944.67	3	0
1875.82	4	0
1749.42	5	0
1910.25	3	0
1739.43	5	0
1818.81	4	0
1921.86	3	0
1748.36	4	0
1599.92	3	1
1893.15	2	3
1797.56	3	0
1622.49	2	5
1824.30	4	0
1922.45	3	0
1922.45	3	0
1809.59	4	0
1822.50	3	0
1916.06	3	0
1761.62	5	0
1855.17	4	0
1894.94	4	0
1749.42	5	0
1910.25	3	0
1779.29	5	0
1873.82	3	0
1877.77	2	5
1884.43	3	0
1792.25	4	0
1115.66	2	5
1922.45	3	0
1746.19	5	0
1798.09	4	0
1822.50	3	0
1640.70	3	1
1838.78	3	0
1809.80	4	0
1818.95	2	6
1793.87	4	0
1889.98	4	0
1786.27	5	0
1788.97	5	0
1822.50	3	0
1780.11	4	0
