price	stores	missing_cards
122.37	3	0
108.31	2	4
181.53	2	0
124.65	4	0
147.84	3	0
139.67	3	0
113.82	4	0
116.72	3	2
135.04	3	0
118.04	4	0
142.60	3	0
84.97	3	5
125.49	4	0
141.38	3	0
133.45	3	1
129.62	3	0
144.31	3	0
156.78	3	0
131.25	4	0
168.40	2	2
108.31	2	4
135.91	3	0
108.31	2	4
134.30	3	0
180.81	2	0
133.30	2	3
106.67	3	3
225.33	2	0
142.60	3	0
161.17	2	0
144.85	3	0
112.79	4	0
118.25	2	4
105.99	3	2
134.30	3	0
133.30	2	3
122.26	3	0
107.57	3	2
114.41	2	5
136.05	3	0
108.31	2	4
101.63	4	0
157.75	3	0
84.67	3	4
156.48	2	2
150.43	3	0
129.80	4	0
98.42	3	4
151.44	3	0
157.75	3	0
141.41	4	0
156.48	2	2
129.01	3	2
114.99	4	0
138.77	3	0
89.79	3	4
122.13	2	4
105.08	4	0
135.91	3	0
107.98	3	3
108.31	2	4
138.77	3	0
122.13	2	4
134.30	3	0
133.30	2	3
118.41	4	0
144.85	3	0
118.25	2	4
122.37	3	0
108.31	2	4
124.20	4	0
127.10	3	2
161.17	2	0
133.30	2	3
131.22	4	0
162.50	3	0
126.78	3	2
123.62	4	0
149.63	3	0
98.42	3	4
135.91	3	0
108.31	2	4
111.29	4	0
134.30	3	0
133.30	2	3
134.30	3	0
133.30	2	3
136.05	3	0
115.62	4	0
108.31	2	4
151.44	3	0
139.70	4	0
152.29	3	0
143.81	2	3
138.77	3	0
120.41	4	0
122.13	2	4
95.75	3	4
117.15	4	0
155.51	3	0
141.86	2	5
136.97	4	0
168.62	2	0
117.26	3	0
114.41	2	5
147.84	3	0
161.17	2	0
121.36	4	0
161.17	2	0
131.44	3	0
113.57	2	7
138.77	3	0
122.13	2	4
138.77	3	0
122.13	2	4
112.18	4	0
134.30	3	0
133.30	2	3
147.62	3	0
142.60	3	0
109.68	4	0
91.84	3	4
118.67	4	0
144.85	3	0
117.26	3	2
118.25	2	4
115.09	2	5
144.85	3	0
118.25	2	4
138.77	3	0
122.13	2	4
161.17	2	0
122.37	3	0
108.31	2	4
125.13	4	0
217.45	2	0
150.43	3	0
109.53	3	3
161.26	3	0
134.81	4	0
123.13	3	3
131.68	4	0
151.44	3	0
112.66	3	4
122.37	3	0
108.31	2	4
129.03	3	0
113.57	2	7
159.80	3	0
114.03	4	0
156.78	3	0
209.40	2	0
101.63	4	0
168.40	2	2
84.67	3	4
115.83	4	0
144.31	3	0
84.67	3	4
130.92	3	0
114.60	4	0
117.66	2	6
89.40	3	4
127.88	4	0
143.08	3	0
134.08	2	4
155.10	3	0
124.58	4	0
108.73	3	3
168.62	2	0
108.31	2	4
124.11	4	0
144.85	3	0
106.41	3	3
108.31	2	4
129.03	3	0
111.25	4	0
108.31	2	4
125.33	4	0
109.35	3	2
161.17	2	0
135.91	3	0
94.12	5	0
108.31	2	4
102.08	4	1
133.77	4	0
161.85	3	0
118.97	3	2
140.71	2	4
145.58	3	0
168.62	2	0
153.00	3	0
118.04	4	0
157.94	2	2
84.97	3	5
135.91	3	0
108.31	2	4
153.00	3	0
123.76	4	0
157.94	2	2
109.16	3	2
151.44	3	0
123.88	4	0
126.78	3	2
138.77	3	0
122.13	2	4
142.60	3	0
93.67	4	0
84.67	3	4
117.26	3	0
155.51	2	4
114.41	2	5
109.52	4	0
101.13	3	3
161.17	2	0
142.60	3	0
118.92	4	0
102.70	3	4
182.60	2	0
130.46	3	0
108.31	2	4
143.74	3	0
104.29	4	0
95.29	3	4
128.40	4	0
162.50	3	0
103.33	3	4
144.85	3	0
117.34	4	0
118.25	2	4
139.76	3	1
166.64	3	0
197.80	2	0
122.96	4	0
134.30	3	0
133.30	2	3
133.30	2	3
122.37	3	0
108.31	2	4
105.08	4	0
153.00	3	0
107.98	3	3
157.94	2	2
108.31	2	4
150.43	3	0
142.60	3	0
135.91	3	0
108.31	2	4
122.26	3	0
133.30	2	3
114.41	2	5
138.77	3	0
122.13	2	4
114.99	4	0
152.29	3	0
89.79	3	4
143.81	2	3
144.31	3	0
134.30	3	0
133.30	2	3
123.72	3	0
141.39	4	0
154.73	3	0
134.08	2	4
151.44	3	0
106.55	4	0
109.45	3	2
136.05	3	0
108.31	2	4
160.84	3	0
197.80	2	0
121.36	4	0
140.71	2	4
106.55	4	0
152.46	3	0
109.45	3	2
197.80	2	0
134.30	3	0
120.41	4	0
133.30	2	3
95.75	3	4
