price	stores	missing_cards
133.14	6	2
148.27	6	0
145.68	5	1
123.69	9	0
121.13	8	1
125.54	5	2
133.75	6	0
135.77	5	1
145.98	4	2
132.52	6	0
132.08	5	1
134.53	4	3
132.46	3	4
135.77	6	0
141.82	5	1
147.16	4	2
154.21	3	3
148.00	5	0
137.47	8	0
138.95	6	1
145.33	5	2
130.99	5	0
154.38	4	1
130.17	4	2
126.44	3	4
153.67	6	0
151.41	5	1
123.52	7	0
155.76	4	2
121.29	6	1
149.60	3	4
124.14	5	2
153.14	2	6
112.78	4	5
111.36	3	6
130.82	7	0
134.23	5	1
142.79	5	0
158.60	4	0
140.41	4	2
153.84	3	2
146.56	3	3
139.44	5	0
144.15	4	2
147.40	4	1
123.79	6	1
153.25	3	3
139.16	6	0
159.51	4	0
124.39	9	0
150.23	7	0
141.42	5	1
150.63	4	2
138.84	7	0
129.89	6	0
134.03	5	1
123.21	8	0
147.06	6	0
120.23	7	1
115.02	5	2
119.69	4	3
117.81	3	6
138.28	9	0
144.67	4	1
143.66	6	0
140.00	6	0
150.63	4	2
144.59	6	0
151.97	5	2
153.89	4	4
119.01	3	9
131.19	9	0
129.23	6	1
130.09	4	2
128.97	3	4
132.00	7	0
142.61	5	1
128.99	5	2
112.86	4	7
149.60	3	4
153.14	2	6
149.87	4	0
156.36	3	2
140.53	6	0
144.28	5	2
179.78	3	0
170.16	2	6
135.21	6	0
137.72	6	0
116.88	7	0
142.70	5	1
110.43	6	1
106.45	5	3
107.15	4	4
110.40	3	6
135.47	8	0
144.33	5	1
148.68	4	2
152.98	3	3
119.41	8	0
136.50	6	1
118.74	7	1
146.55	4	2
139.05	6	0
141.00	4	1
138.98	3	3
127.40	6	0
122.92	5	1
119.39	4	3
112.86	4	4
130.10	6	1
161.64	4	0
163.85	3	2
149.86	5	0
141.15	4	1
138.93	3	3
143.23	6	0
141.24	5	1
149.77	6	0
148.56	5	1
149.38	4	2
137.50	8	0
134.78	7	1
133.73	6	2
124.18	5	5
125.57	4	6
123.55	3	8
128.95	6	1
127.23	4	3
147.22	4	2
154.26	3	3
142.87	5	0
123.12	4	5
124.89	3	7
119.78	9	0
112.61	8	2
119.41	4	3
122.19	3	6
136.36	8	0
142.54	5	1
145.97	4	2
130.01	5	0
123.94	4	3
133.14	8	0
147.64	4	1
138.98	3	3
129.24	7	0
126.77	6	1
146.81	4	0
132.46	3	4
152.49	5	0
126.16	7	1
149.35	4	2
121.14	6	2
122.86	5	3
118.06	8	0
140.09	7	0
116.27	6	1
146.28	4	2
147.60	7	0
150.82	5	1
156.66	4	2
158.86	3	3
153.14	2	6
120.15	9	0
113.77	7	1
112.59	5	2
151.67	6	0
109.72	4	4
109.18	3	6
149.66	4	2
125.29	9	0
126.47	7	1
120.47	6	2
120.88	5	3
125.40	3	4
145.64	7	0
141.59	5	1
136.14	4	4
138.86	7	0
150.63	4	2
127.51	6	1
145.20	6	0
132.30	5	2
124.10	4	4
122.56	3	6
136.66	7	0
134.59	5	1
145.77	5	0
150.50	4	1
120.09	5	2
122.17	4	3
128.45	6	0
129.11	7	0
131.96	6	1
167.41	4	0
169.68	3	3
144.51	5	0
173.24	4	0
150.79	4	1
175.61	3	3
148.24	4	2
133.79	6	0
134.59	5	1
125.58	9	0
126.77	6	1
137.40	4	2
132.46	3	4
124.16	6	0
121.19	5	1
117.29	4	3
125.40	3	4
153.05	6	0
159.69	4	1
163.12	3	2
153.14	2	6
125.14	6	0
151.48	5	0
119.31	5	2
115.71	4	3
116.19	3	6
159.86	5	0
156.66	4	2
158.86	3	3
153.14	2	6
134.92	6	0
136.50	5	2
137.61	4	4
146.95	4	0
149.40	3	4
170.11	3	3
135.46	6	0
131.80	5	1
140.64	7	0
139.50	6	1
136.29	5	2
140.23	6	0
138.03	5	1
171.32	4	1
141.94	5	0
147.13	4	1
146.06	3	4
152.38	3	2
155.63	2	8
128.70	6	0
126.56	5	1
142.81	4	3
147.58	3	5
148.13	7	0
137.60	8	0
127.98	7	1
126.26	6	2
130.38	5	3
125.40	7	0
124.49	5	2
116.53	4	5
109.62	3	9
143.71	6	0
153.60	4	1
125.56	10	0
124.54	9	1
134.81	5	2
135.44	4	3
161.96	5	0
130.22	6	0
158.29	4	1
127.54	5	1
122.32	4	3
126.44	3	4
151.41	5	0
143.02	3	4
142.75	4	2
131.04	7	0
134.91	5	1
138.22	4	2
132.46	3	4
142.18	5	0
148.43	4	1
152.98	3	3
131.57	6	0
133.05	5	1
156.36	4	1
132.46	3	4
144.93	6	0
147.95	4	1
148.10	7	0
130.99	8	0
129.25	6	2
122.48	6	2
110.62	5	5
110.63	4	6
153.53	4	0
112.22	3	8
117.12	10	0
110.56	7	1
108.78	6	2
117.85	4	3
109.18	3	6
142.89	5	0
145.76	4	2
122.36	8	0
122.81	7	1
161.98	5	0
126.75	5	2
165.17	4	1
133.26	4	3
123.86	3	6
119.06	10	0
151.11	7	0
121.74	6	1
132.78	4	2
132.46	3	4
152.88	6	0
152.10	4	2
149.60	3	4
153.14	2	6
139.98	6	0
164.60	5	0
143.01	4	2
148.33	5	0
142.26	4	2
142.37	3	3
121.39	7	0
141.96	6	0
119.54	6	1
138.65	5	1
112.62	5	4
143.51	4	2
120.91	6	0
124.60	4	1
110.40	3	6
130.95	7	0
126.07	6	1
150.60	6	0
145.72	4	1
164.54	3	3
153.14	2	6
147.89	5	0
146.97	4	2
136.37	6	0
140.00	4	1
149.37	3	6
140.33	6	0
137.74	5	1
164.36	4	0
140.29	4	3
163.12	3	2
153.14	2	6
126.27	6	0
155.73	4	1
120.27	5	1
156.89	3	2
117.85	4	3
109.18	3	6
137.52	7	0
164.11	6	0
135.20	5	1
143.69	4	2
127.96	3	7
141.49	6	0
145.51	5	1
130.41	6	2
134.54	4	3
134.53	3	5
131.35	8	0
127.00	5	1
