card,store,quantity,value
"fblthp, the lost",Arsenal Nerd,3,2.10
"fblthp, the lost",Load or Cast,6,3.35
"fblthp, the lost",Gideon\'s Palace,2,3.30
"fblthp, the lost",TCGeeK,1,20.25
"fblthp, the lost",Reino Magic,3,3.29
"fblthp, the lost",Reino Magic,3,11.00
"fblthp, the lost",Pi Games,15,0.00
"fblthp, the lost",Pi Games,4,5.46
"fblthp, the lost",Pi Games,4,39.99
"fblthp, the lost",Pi Games,2,39.99
"fblthp, the lost",City Class Games,24,5.99
"fblthp, the lost",City Class Games,1,29.99
bond of insight,Tabuleria,23,0.50
bond of insight,Tabuleria,1,5.00
"fblthp, the lost",Liga Arena,1,9.49
"fblthp, the lost",Liga Arena,1,3.28
"fblthp, the lost",Liga Arena,3,3.28
lazotep plating,City Class Games,35,1.99
lazotep plating,City Class Games,4,6.00
lazotep plating,City Class Games,4,12.49
commence the endgame,City Class Games,27,3.99
commence the endgame,City Class Games,1,19.99
commence the endgame,City Class Games,1,15.99
spark double,City Class Games,24,11.99
spark double,City Class Games,3,49.99
commence the endgame,Pi Games,11,0.00
commence the endgame,Pi Games,4,5.98
commence the endgame,Pi Games,3,16.99
lazotep plating,Porto Livre Games,3,11.50
lazotep plating,Porto Livre Games,21,2.75
contentious plan,City Class Games,76,0.49
contentious plan,City Class Games,1,4.99
spark double,Pi Games,7,0.00
spark double,Pi Games,4,29.99
spark double,Pi Games,4,13.40
spark double,Pi Games,1,0.00
spark double,Pi Games,1,0.00
spark double,Vila Celta Hobby Store,4,11.99
spark double,Vila Celta Hobby Store,1,29.99
commence the endgame,Inside Games,27,4.00
commence the endgame,Inside Games,1,18.00
spark double,Loja Grimorium,8,9.99
spark double,Loja Grimorium,1,29.99
spark double,House of Cards - Card Games,3,34.95
spark double,House of Cards - Card Games,1,34.95
spark double,House of Cards - Card Games,1,7.95
spark double,Porto Livre Games,2,27.50
spark double,Porto Livre Games,3,7.50
aven eternal,Pi Games,1,2.99
spark double,VampireX TCG,16,8.79
spark double,VampireX TCG,3,29.91
spark double,VampireX TCG,1,29.91
spark double,Bazar de Bagdá,22,8.99
spark double,Bazar de Bagdá,1,24.99
aven eternal,Bahia Store,4,0.20
aven eternal,Bahia Store,1,2.00
aven eternal,Meruru,22,0.55
aven eternal,Meruru,1,1.55
aven eternal,City Class Games,79,0.49
aven eternal,City Class Games,2,1.29
aven eternal,WCG - World Card Games,2,1.75
aven eternal,Inside Games,8,0.25
aven eternal,Inside Games,5,1.00
aven eternal,Liga Arena,1,1.19
aven eternal,Liga Arena,8,0.24
aven eternal,ProNerd,1,1.04
aven eternal,ProNerd,22,0.20
aven eternal,Konklave FunStore,2,2.00
aven eternal,Konklave FunStore,4,0.50
aven eternal,Magic Club,47,0.20
aven eternal,Magic Club,1,0.99
aven eternal,Cards Of Paradise,8,1.75
aven eternal,Flow Games,2,1.00
aven eternal,Flow Games,85,0.25
aven eternal,RED Jogos,3,1.00
aven eternal,Gideon\'s Palace,15,0.15
aven eternal,Gideon\'s Palace,1,0.75
aven eternal,Legion Board & Card Games,1,0.95
aven eternal,Cúpula do Trovão,54,0.20
aven eternal,Cúpula do Trovão,1,0.50
aven eternal,CL TCG,1,0.90
aven eternal,Ilusões Industriais,2,0.75
aven eternal,TCGeeK,61,0.52
aven eternal,Prime MTG,12,0.20
aven eternal,Prime MTG,1,0.51
aven eternal,Mineral Games,1,0.50
aven eternal,Mineral Games,21,0.20
aven eternal,Toca do Quati,25,0.50
aven eternal,Power Up Games,8,0.50
aven eternal,Armada Nerd Hobby Store,19,0.50
aven eternal,Cards Store,4,0.63
aven eternal,Chuck TCG,15,0.50
eternal skylord,Cards Store,14,0.49
eternal skylord,Cards Store,2,0.94
eternal skylord,ManaFix.net,11,0.75
eternal skylord,Legends Game Store,1,2.99
eternal skylord,Legends Game Store,15,0.75
aven eternal,New !QUEST STORE,18,0.50
eternal skylord,Konklave FunStore,1,2.00
eternal skylord,Konklave FunStore,4,1.00
eternal skylord,Inside Games,2,2.00
eternal skylord,Ilusões Industriais,1,1.50
eternal skylord,Bahia Store,4,0.29
eternal skylord,Bahia Store,2,2.00
eternal skylord,Pi Games,8,0.67
eternal skylord,Pi Games,1,1.59
eternal skylord,Power9,2,1.75
eternal skylord,Power9,8,0.50
eternal skylord,Miragem Hobby,19,0.69
eternal skylord,Miragem Hobby,1,2.49
eternal skylord,Chuck TCG,14,0.75
eternal skylord,Chuck TCG,1,1.50
eternal skylord,Tabuleria,25,0.50
eternal skylord,Tabuleria,1,1.50
eternal skylord,CHQ Cards,2,0.75
eternal skylord,CHQ Cards,1,1.50
eternal skylord,WCG - World Card Games,1,1.49
eternal skylord,WCG - World Card Games,29,0.49
eternal skylord,VAULT,1,1.40
eternal skylord,VampireX TCG,55,0.57
eternal skylord,VampireX TCG,2,1.49
eternal skylord,Load or Cast,1,1.30
eternal skylord,Load or Cast,28,0.40
eternal skylord,Cards Outlet,24,1.00
eternal skylord,Cards Outlet,4,1.00
eternal skylord,Vila Celta Hobby Store,4,0.79
eternal skylord,Vila Celta Hobby Store,1,1.49
eternal skylord,Porto Livre Games,1,1.25
eternal skylord,Porto Livre Games,45,0.25
eternal skylord,Flow Games,1,1.00
eternal skylord,Flow Games,73,0.50
eternal skylord,Flow Games,2,0.50
eternal skylord,TCGeeK,18,0.80
eternal skylord,TCGeeK,1,2.35
eternal skylord,New !QUEST STORE,11,1.00
eternal skylord,Power Up Games,8,1.00
eternal skylord,Bazar de Bagdá,28,0.49
eternal skylord,Bazar de Bagdá,6,0.99
eternal skylord,Magic Club,17,0.35
eternal skylord,Magic Club,1,0.99
eternal skylord,MTG Caxias Cards,9,0.49
eternal skylord,MTG Caxias Cards,1,0.99
eternal skylord,City Class Games,39,0.99
eternal skylord,Magicbembarato,5,0.99
eternal skylord,Newstation,8,1.00
eternal skylord,Cúpula do Trovão,12,0.50
eternal skylord,Cúpula do Trovão,1,1.00
eternal skylord,Prime MTG,6,0.48
eternal skylord,Prime MTG,2,0.76
eternal skylord,Skull Games,1,0.49
eternal skylord,Skull Games,1,0.75
eternal skylord,Armada Nerd Hobby Store,7,0.75
eternal skylord,Meruru,8,0.75
eternal skylord,Loja Grimorium,13,0.75
eternal skylord,Geex Hobby Store,19,0.25
eternal skylord,Geex Hobby Store,2,0.75
eternal skylord,Mulligan Geek Store,12,0.75
eternal skylord,Toca do Quati,6,0.70
eternal skylord,Tutubahia,4,0.63
eternal skylord,ProNerd,7,0.52
eternal skylord,Panteão Games,17,0.50
eternal skylord,Card Tutor,7,0.50
eternal skylord,House of Cards - Card Games,18,0.50
eternal skylord,Player`s Stop,12,0.50
eternal skylord,Livraria do Infinito - MagicJebb,2,0.60
eternal skylord,Portal,5,0.50
eternal skylord,Reino Magic,12,0.50
eternal skylord,Medieval Cards,26,0.50
eternal skylord,Monster Games Cards,4,0.50
eternal skylord,Lets Collect,12,0.50
eternal skylord,A Taverna,19,0.50
eternal skylord,Neowalkers Geek Store,8,0.48
eternal skylord,Condado Card Games,9,0.45
eternal skylord,Epic Game,8,0.49
eternal skylord,AnimeToys Sorocaba,3,0.45
eternal skylord,Treasure Cards,1,0.45
eternal skylord,Liga Arena,9,0.43
eternal skylord,Gideon\'s Palace,2,0.40
eternal skylord,Segura Card & Games,25,0.35
eternal skylord,Nerdz Cards,14,0.40
eternal skylord,Hobby Center,6,0.40
eternal skylord,Loja Caverna do Dragão,5,0.30
eternal skylord,Arena Hobby Store,12,0.29
eternal skylord,Legion Board & Card Games,21,0.30
eternal skylord,Pharaoh\'s Shop,35,0.25
eternal skylord,MTG Cards Games,28,0.30
eternal skylord,Padrinho: Card Store,3,0.25
eternal skylord,Rayearth Games,14,0.27
eternal skylord,Universo Magic,31,0.25
eternal skylord,Top Deck RN,13,0.25
eternal skylord,Cards Of Paradise,5,1.75
eternal skylord,Loja de Cartinhas,1,0.50
eternal skylord,CL TCG,5,0.25
eternal skylord,Multiverso Cards Comercio de Jogos e Acessorios Lt,15,0.30
eternal skylord,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,0.30
eternal skylord,Goblin Hero Store,1,0.25
eternal skylord,Moinho de Vento Geek Store,11,0.19
eternal skylord,Ascensão,32,0.16
eternal skylord,Ascensão,11,0.16
eternal skylord,RED Jogos,8,0.25
eternal skylord,Magic Leste,14,0.24
eternal skylord,Refúgio do Dragão,22,0.23
eternal skylord,Hive Jogos,1,0.20
aven eternal,Magic Store Brasil,29,0.50
eternal skylord,Arsenal Nerd,3,0.15
eternal skylord,Jaw Games,1,0.25
aven eternal,Newstation,8,0.50
aven eternal,ManaFix.net,23,0.35
aven eternal,AnimeToys Sorocaba,12,0.45
aven eternal,Vila Celta Hobby Store,8,0.39
aven eternal,Hobby Center,2,0.40
aven eternal,Skull Games,3,0.25
aven eternal,Skull Games,1,0.25
aven eternal,Card Tutor,7,0.25
aven eternal,Panteão Games,28,0.25
aven eternal,Portal,5,0.25
aven eternal,A Taverna,49,0.25
aven eternal,Miragem Hobby,18,0.25
aven eternal,Arena Hobby Store,12,0.25
aven eternal,Monster Games Cards,6,0.25
aven eternal,CHQ Cards,5,0.50
aven eternal,House of Cards - Card Games,16,0.25
aven eternal,Legends Game Store,16,0.25
aven eternal,Lets Collect,11,0.25
aven eternal,Mulligan Geek Store,25,0.25
aven eternal,Porto Livre Games,8,0.25
aven eternal,Reino Magic,21,0.25
aven eternal,Magicbembarato,6,0.21
aven eternal,Pharaoh\'s Shop,85,0.20
aven eternal,Pharaoh\'s Shop,1,0.20
aven eternal,Epic Game,16,0.25
aven eternal,Universo Magic,22,0.20
aven eternal,Medieval Cards,25,0.25
aven eternal,Loja Caverna do Dragão,6,0.20
aven eternal,Padrinho: Card Store,8,0.20
aven eternal,Power9,8,0.20
aven eternal,Condado Card Games,18,0.23
aven eternal,Treasure Cards,18,0.18
aven eternal,Nerdz Cards,37,0.15
aven eternal,MTG Caxias Cards,12,0.20
aven eternal,Jaw Games,2,0.15
aven eternal,Neowalkers Geek Store,15,0.15
aven eternal,Magic Leste,26,0.14
aven eternal,Hive Jogos,7,0.10
aven eternal,Goblin Hero Store,1,0.15
aven eternal,Livraria do Infinito - MagicJebb,4,0.10
aven eternal,Taverna Geek,16,0.10
aven eternal,Loja Grimorium,12,0.25
aven eternal,Rayearth Games,25,0.08
aven eternal,Ascensão,86,0.06
aven eternal,Ascensão,3,0.00
aven eternal,Ascensão,32,0.06
aven eternal,Moinho de Vento Geek Store,15,0.10
aven eternal,Cards Outlet,54,0.23
aven eternal,Cards Outlet,8,0.23
spark double,ManaFix.net,1,24.95
spark double,ManaFix.net,1,24.95
spark double,Legends Game Store,2,21.75
spark double,Legends Game Store,8,8.99
spark double,Taverna Geek,1,20.00
spark double,Neowalkers Geek Store,4,5.95
spark double,Neowalkers Geek Store,1,20.00
spark double,Konklave FunStore,1,19.90
spark double,Konklave FunStore,4,5.50
spark double,Nerdz Cards,3,19.90
spark double,DeckMasterGames,2,9.80
spark double,DeckMasterGames,1,19.90
spark double,Cards Of Paradise,49,6.75
spark double,Cards Of Paradise,4,19.75
spark double,Cards Of Paradise,1,19.75
spark double,Medieval Cards,17,6.50
spark double,Medieval Cards,2,19.00
spark double,WCG - World Card Games,1,19.75
spark double,WCG - World Card Games,19,6.75
spark double,Magic Club,8,6.90
spark double,Magic Club,1,24.90
spark double,Miragem Hobby,8,6.49
spark double,Miragem Hobby,1,18.99
spark double,Liga Arena,1,18.91
spark double,Liga Arena,7,9.41
spark double,Pharaoh\'s Shop,2,5.50
spark double,Pharaoh\'s Shop,2,5.50
spark double,Pharaoh\'s Shop,1,18.00
spark double,Reino Magic,2,7.60
spark double,Reino Magic,3,18.00
spark double,Prime MTG,4,5.61
spark double,Prime MTG,2,17.10
spark double,Cards Store,3,4.82
spark double,Cards Store,2,15.00
spark double,Flow Games,4,22.00
spark double,Flow Games,19,8.00
spark double,Panteão Games,1,12.50
spark double,Panteão Games,7,4.09
spark double,CHQ Cards,1,12.00
spark double,CHQ Cards,1,7.90
spark double,VAULT,4,10.00
spark double,Inside Games,28,12.00
spark double,Toca do Quati,3,11.20
spark double,Meruru,24,9.98
spark double,Magicbembarato,8,9.66
spark double,TCGeeK,15,9.31
spark double,PRCShop,13,5.50
spark double,PRCShop,6,17.00
spark double,Elder Dragon Brasil,2,8.90
spark double,Newstation,3,9.00
spark double,Livraria do Infinito - MagicJebb,1,8.50
spark double,Armada Nerd Hobby Store,4,8.00
spark double,Top Deck RN,4,7.99
spark double,A Taverna,6,8.95
spark double,Cards Outlet,18,9.98
spark double,Cards Outlet,4,9.98
spark double,Tutubahia,4,7.50
spark double,Power9,4,7.40
spark double,Gideon\'s Palace,2,7.25
spark double,Mulligan Geek Store,7,7.25
spark double,Power Up Games,3,7.50
spark double,Treasure Cards,2,7.20
spark double,Epic Game,22,7.49
aven eternal,Millennium Cards & Games,8,0.15
spark double,Load or Cast,11,7.00
spark double,Lets Collect,8,6.95
spark double,MTG Caxias Cards,5,6.99
spark double,Mineral Games,2,6.95
spark double,New !QUEST STORE,6,7.00
spark double,LIMIAR STORE,1,6.57
spark double,Segura Card & Games,7,6.50
spark double,Jaw Games,1,6.50
spark double,MTG Cards Games,14,6.25
