card,store,quantity,value
star compass,Tutubahia,8,0.63
star compass,Tutubahia,4,2.50
star compass,Tutubahia,1,30.00
star compass,Magicbembarato,6,0.99
star compass,Magicbembarato,4,4.73
star compass,Magicbembarato,4,2.25
star compass,Magicbembarato,4,3.85
"melek, izzet paragon",ProNerd,1,0.32
the mirari conjecture,Konklave FunStore,1,15.22
the mirari conjecture,Konklave FunStore,1,15.22
the mirari conjecture,Konklave FunStore,4,2.98
hypersonic dragon,Cards Outlet,2,1.25
hypersonic dragon,Cards Outlet,1,1.46
hypersonic dragon,Cards Outlet,4,1.25
hypersonic dragon,Cards Outlet,4,1.29
goblin electromancer,Reino Magic,1,0.50
goblin electromancer,Reino Magic,1,3.00
goblin electromancer,Loja Grimorium,26,0.75
goblin electromancer,Loja Grimorium,25,0.49
goblin electromancer,Loja Grimorium,23,0.49
goblin electromancer,Loja Grimorium,23,0.75
goblin electromancer,Loja Grimorium,5,0.75
goblin electromancer,Loja Grimorium,5,0.75
goblin electromancer,Loja Grimorium,1,0.99
curious homunculus,Cards Of Paradise,38,3.19
curious homunculus,Cards Of Paradise,3,9.99
"niv-mizzet, dracogenius",Cards Outlet,4,2.79
"niv-mizzet, dracogenius",Cards Outlet,4,2.74
"niv-mizzet, dracogenius",Cards Outlet,4,1.82
emergence zone,City Class Games,2,24.99
emergence zone,RED Jogos,1,18.90
emergence zone,RED Jogos,8,1.25
reliquary tower,City Class Games,18,6.99
reliquary tower,City Class Games,11,5.99
reliquary tower,City Class Games,9,14.99
reliquary tower,City Class Games,2,15.99
reliquary tower,City Class Games,2,34.99
reliquary tower,City Class Games,1,9.99
fellwar stone,City Class Games,1,69.99
reliquary tower,CHQ Cards,8,7.40
reliquary tower,CHQ Cards,5,8.00
reliquary tower,CHQ Cards,3,8.00
reliquary tower,CHQ Cards,2,9.00
reliquary tower,CHQ Cards,1,34.90
reliquary tower,CHQ Cards,1,15.00
reliquary tower,CHQ Cards,1,10.00
reliquary tower,CHQ Cards,1,8.00
reliquary tower,CHQ Cards,1,14.40
reliquary tower,Bazar de Bagdá,15,9.99
reliquary tower,Bazar de Bagdá,13,9.99
reliquary tower,Bazar de Bagdá,13,11.99
reliquary tower,Bazar de Bagdá,11,9.99
reliquary tower,Bazar de Bagdá,8,9.99
reliquary tower,Bazar de Bagdá,7,17.99
reliquary tower,Bazar de Bagdá,5,34.99
reliquary tower,Bazar de Bagdá,3,9.99
reliquary tower,Bazar de Bagdá,3,11.99
reliquary tower,Bazar de Bagdá,2,34.99
reliquary tower,Bazar de Bagdá,2,9.99
reliquary tower,Bazar de Bagdá,1,9.99
reliquary tower,Bazar de Bagdá,1,7.99
reliquary tower,Bazar de Bagdá,1,9.99
reliquary tower,Epic Game,2,7.99
reliquary tower,Epic Game,1,10.90
reliquary tower,Epic Game,1,34.99
reliquary tower,Epic Game,1,7.99
reliquary tower,Epic Game,1,7.99
fellwar stone,Bazar de Bagdá,15,59.99
fellwar stone,Bazar de Bagdá,7,7.99
fellwar stone,Bazar de Bagdá,6,7.99
