card,store,quantity,value
Supreme Will,Toca do Quati,1,14.00
Supreme Will,Toca do Quati,1,1.00
Prying Blade,You Cards,54,0.06
Prying Blade,Magicbembarato,6,0.21
Prying Blade,Magicbembarato,1,1.58
March of the Drowned,Pi Games,19,0.25
March of the Drowned,Pi Games,1,2.99
March of the Drowned,Reino Magic,17,0.25
Supreme Will,Top Deck RN,1,13.00
Sailor of Means,You Cards,22,0.04
Sailor of Means,You Cards,19,0.04
Sailor of Means,You Cards,1,0.50
Kitesail Freebooter,Segura Card & Games,4,1.90
Pirate's Prize,Cards Of Paradise,48,0.75
Basilica Screecher,City Class Games,1,2.00
Kitesail Freebooter,Pi Games,13,3.92
Kitesail Freebooter,Pi Games,6,4.99
Kitesail Freebooter,Pi Games,2,34.90
Kitesail Freebooter,Pi Games,1,4.99
Spell Swindle,Bazar de Bagdá,28,3.99
Spell Swindle,Bazar de Bagdá,3,3.99
Spell Swindle,Bazar de Bagdá,3,3.99
Inspiring Statuary,Rayearth Games,1,0.57
Marionette Master,Miragem Hobby,6,2.99
Marionette Master,Miragem Hobby,1,8.99
Revel in Riches,City Class Games,74,6.00
Revel in Riches,City Class Games,2,17.50
Revel in Riches,Magicbembarato,4,10.03
Revel in Riches,Magicbembarato,1,61.39
Contraband Kingpin,Cards Of Paradise,49,1.75
Contraband Kingpin,Cards Of Paradise,16,4.75
Contraband Kingpin,Pi Games,1,3.99
Sentinel Totem,LOJA CALABOUÇO - HOBBIES E COLECIONÁVEIS,22,0.14
Contraband Kingpin,City Class Games,45,0.75
Contraband Kingpin,City Class Games,2,3.99
Contraband Kingpin,City Class Games,1,3.99
Contraband Kingpin,Load or Cast,2,2.90
Contraband Kingpin,Load or Cast,34,0.40
Contraband Kingpin,Basics Cards,1,1.99
Contraband Kingpin,Basics Cards,2,0.14
Contraband Kingpin,Basics Cards,2,0.14
Contraband Kingpin,Refúgio do Dragão,2,1.99
Contraband Kingpin,Refúgio do Dragão,1,0.20
Contraband Kingpin,Magicbembarato,6,0.77
Contraband Kingpin,Magicbembarato,1,3.53
